atomLen1,atomAmp1,atomFreq1,atomPhase1,atomPos1,atomLen2,atomAmp2,atomFreq2,atomPhase2,atomPos2,atomLen3,atomAmp3,atomFreq3,atomPhase3,atomPos3,atomLen4,atomAmp4,atomFreq4,atomPhase4,atomPos4,atomLen5,atomAmp5,atomFreq5,atomPhase5,atomPos5,atomLen6,atomAmp6,atomFreq6,atomPhase6,atomPos6,atomLen7,atomAmp7,atomFreq7,atomPhase7,atomPos7,atomLen8,atomAmp8,atomFreq8,atomPhase8,atomPos8,atomLen9,atomAmp9,atomFreq9,atomPhase9,atomPos9,atomLen10,atomAmp10,atomFreq10,atomPhase10,atomPos10,atomLen11,atomAmp11,atomFreq11,atomPhase11,atomPos11,atomLen12,atomAmp12,atomFreq12,atomPhase12,atomPos12,atomLen13,atomAmp13,atomFreq13,atomPhase13,atomPos13,atomLen14,atomAmp14,atomFreq14,atomPhase14,atomPos14,atomLen15,atomAmp15,atomFreq15,atomPhase15,atomPos15,LPC_Coefficient1,LPC_Coefficient2,LPC_Coefficient3,LPC_Coefficient4,LPC_Coefficient5,LPC_Coefficient6,LPC_Coefficient7,LPC_Coefficient8,LPC_Coefficient9,LPC_Coefficient10,LPC_Coefficient11,LPC_Coefficient12,LPC_Coefficient13,LPC_Coefficient14,LPC_Coefficient15,Class
256,0.68726,0.019531,-2.2909,672,256,0.61886,0.015625,1.7442,0,128,0.36384,0.015625,2.2094,0,128,0.27681,0.023438,1.5166,800,256,0.19975,0.015625,-2.7374,96,256,0.16869,0.011719,-2.5688,608,64,0.14292,0.03125,1.1139,784,128,0.13821,0.023438,1.6205,64,64,0.14294,0.015625,2.3255,0,64,0.13606,0.03125,1.2363,304,256,0.10957,0.015625,2.0765,480,32,0.1285,0.03125,1.2323,0,128,0.11105,0.0078125,1.4473,864,128,0.066383,0.054688,-1.0323,832,256,0.065285,0.015625,-0.79695,192,-0.72449,0.02585,-0.0051262,-0.027463,0.13805,0.11305,-0.028225,-0.048487,-0.012206,0.014908,0.05089,0.041256,-0.007145,-0.01501,0.011264,abnormal
256,1.2349,0.019531,-0.030221,512,128,0.62092,0.015625,-2.7742,0,32,0.34126,0.03125,-2.7145,20,256,0.37932,0.019531,0.33698,0,256,0.36716,0.019531,-0.45731,608,256,0.26729,0.046875,2.6498,576,64,0.26541,0.03125,0.78788,544,256,0.22696,0.10938,2.4951,128,256,0.22132,0.050781,-2.1518,352,256,0.21198,0.011719,3.0753,512,64,0.16701,0.015625,-2.8443,40,32,0.21574,0.03125,2.2371,0,128,0.17437,0.054688,-2.9116,32,256,0.17051,0.027344,-1.1396,544,128,0.14205,0.054688,-0.20388,240,-0.75999,0.28654,0.14151,-0.0057977,0.14649,0.10596,-0.010559,0.036582,0.048721,4.39E-05,0.039451,0.063734,0.026687,0.043523,0.0098637,abnormal
256,0.38903,0.015625,0.49013,0,128,0.27477,0.03125,-2.7636,720,256,0.2034,0.015625,2.9971,512,32,0.17383,0.03125,2.0265,28,256,0.12372,0.015625,1.8991,672,128,0.11176,0.023438,-1.2872,16,128,0.08343,0.023438,-0.41361,816,128,0.074618,0.023438,-0.064478,112,256,0.059807,0.011719,-2.0227,416,256,0.05477,0.023438,1.1828,192,256,0.050963,0.011719,1.3331,128,256,0.046981,0.054688,-2.44,0,64,0.045471,0.03125,-1.7113,728,256,0.040805,0.027344,2.0462,544,32,0.039997,0.0625,2.5181,4,-0.84699,0.45431,-0.039355,-0.15353,0.18669,0.1068,-0.018091,0.082609,0.032705,-0.055926,0.02999,0.064776,0.020622,0.043559,0.045718,abnormal
256,1.763,0.015625,-3.0465,0,128,0.94666,0.015625,-2.6564,0,256,0.76307,0.015625,-3.0814,640,32,0.35658,0,0,12,256,0.38067,0.019531,1.1047,32,256,0.3277,0.042969,-0.84311,640,256,0.23393,0.011719,2.3233,96,128,0.20843,0.015625,-2.8007,768,256,0.20441,0.0625,-2.4912,640,128,0.18572,0.039062,-2.3706,16,256,0.17356,0.027344,2.9375,640,32,0.17063,0.03125,2.3578,0,64,0.14197,0.03125,1.0043,656,64,0.083456,0,0,24,256,0.11738,0.0078125,-1.6108,608,-0.50708,-0.026103,0.043861,-0.022748,0.029347,0.076409,0.045211,0.023297,0.02541,0.013402,-0.003803,-0.016499,-9.67E-05,0.0088445,0.022346,abnormal
256,0.47732,0.015625,-1.0298,32,64,0.25298,0.03125,-2.4502,40,256,0.2201,0.019531,1.9503,416,256,0.16432,0.027344,-0.89476,0,256,0.11165,0.011719,1.1798,544,256,0.10444,0.015625,1.0787,128,32,0.10254,0.03125,2.3254,16,64,0.094057,0.03125,3.014,464,32,0.069914,0.03125,-2.845,36,256,0.076193,0.0078125,0.65043,0,128,0.070129,0.0625,-2.0937,32,64,0.072976,0.015625,1.0237,552,256,0.05468,0.019531,-2.8893,192,32,0.043558,0.03125,-0.098191,64,32,0.047796,0.03125,2.3163,520,-1.8301,1.6954,-0.98193,-0.017116,0.62211,-0.37855,-0.034884,0.28529,-0.25061,0.015127,0.16756,-0.14527,0.087667,0.082785,-0.070776,abnormal
32,1.322,0.40625,-1.8811,628,32,1.2048,0.375,0.15386,1408,256,1.1327,0.375,-0.71666,832,32,1.0882,0.40625,-0.92914,692,256,1.0476,0.33203,2.696,992,64,0.99464,0.35938,-2.4814,808,32,0.982,0.40625,-1.2016,244,128,0.97952,0.33594,1.1397,704,32,0.94781,0.375,-2.8088,1140,32,0.93281,0.40625,-2.8665,1092,32,0.91223,0.34375,-2.8251,24,128,0.90767,0.33594,1.0403,912,256,0.8993,0.33203,-0.7388,1248,256,0.88082,0.41016,-2.3929,1472,64,0.87576,0.4375,-1.8535,736,2.7929,4.5949,5.4547,5.4641,5.1409,4.7268,4.1663,3.4411,2.7149,2.1071,1.612,1.188,0.78054,0.38816,0.10551,abnormal
128,0.66137,0.023438,-2.8329,16,64,0.56878,0.015625,1.5008,0,64,0.40428,0.03125,-0.6244,104,128,0.23978,0.046875,-1.6571,0,256,0.22387,0.035156,1.9867,512,256,0.14848,0.027344,3.0283,608,64,0.18363,0.015625,1.4655,144,256,0.13637,0.054688,-1.0122,0,256,0.12828,0.046875,2.3924,608,32,0.14908,0.03125,-1.4045,0,32,0.14226,0.03125,1.8504,560,128,0.092027,0.0078125,-0.26327,0,256,0.10563,0.074219,0.70358,544,64,0.098333,0.03125,-1.2603,168,128,0.088211,0.0625,-0.55152,560,-0.61103,-0.11281,0.038348,0.0068182,0.028836,0.095321,0.10813,0.060535,-0.0032594,-0.041455,-0.033744,-0.011762,-0.010924,0.0025267,0.076485,normal
128,0.22717,0.36719,2.5605,624,128,0.20803,0.41406,0.82023,0,32,0.18393,0.375,-2.0053,492,256,0.18391,0.42969,0.86453,1344,64,0.17405,0.42188,2.5104,944,64,0.16465,0.34375,2.897,24,64,0.16348,0.39062,0.0097512,440,64,0.16104,0.39062,-2.3223,808,256,0.15604,0.42578,1.3274,416,64,0.14542,0.4375,-2.3051,344,64,0.14502,0.42188,-2.6372,1552,32,0.14252,0.4375,-0.44342,1244,256,0.14281,0.46094,-1.8475,1376,32,0.13962,0.375,-2.0666,1636,32,0.15425,0.46875,2.0373,148,1.8447,2.3606,2.5662,2.7458,2.7752,2.6791,2.4862,2.2619,1.9805,1.6866,1.3601,1.0079,0.65358,0.33087,0.058574,abnormal
256,0.16143,0.03125,2.1916,480,256,0.15764,0.019531,-2.4433,640,128,0.12634,0.023438,2.0152,192,64,0.1012,0.03125,-0.8347,80,128,0.095542,0.015625,-2.0243,112,64,0.094169,0.03125,-1.1891,16,128,0.083831,0.023438,-2.3547,416,256,0.076914,0.015625,-1.7508,256,256,0.071954,0.023438,1.7337,544,128,0.069409,0.046875,-1.7078,576,256,0.053091,0.019531,-1.6387,448,64,0.054114,0.03125,-1.4513,296,32,0.063659,0.03125,1.5381,0,256,0.046831,0.027344,-0.55287,800,64,0.05689,0.015625,-1.3838,40,-1.6627,2.1846,-1.6868,0.76933,0.32926,-0.6957,0.54163,0.065589,-0.42022,0.38467,0.029407,-0.22742,0.30148,-0.13045,0.0030665,normal
256,0.17559,0.027344,-0.71538,0,64,0.19512,0.015625,1.7304,8,32,0.17151,0.03125,-1.1443,60,256,0.10454,0.015625,-0.11422,608,64,0.09553,0.03125,-1.6077,624,128,0.092557,0.0625,-1.9227,64,256,0.080085,0.015625,2.2552,32,32,0.069123,0.0625,-2.5957,668,128,0.067909,0.039062,0.48212,544,32,0.069758,0.03125,1.2667,12,128,0.051871,0.085938,-1.5282,576,64,0.051027,0.09375,2.7728,40,128,0.044201,0.046875,2.9736,96,64,0.039824,0.03125,-2.4168,72,256,0.038219,0.035156,3.0207,640,-1.3814,1.8641,-1.5528,0.84864,0.051492,-0.46927,0.58568,-0.13758,-0.12911,0.30403,-0.20301,0.036449,0.075943,-0.078598,0.076203,abnormal
128,0.6264,0.054688,0.99436,64,128,0.36721,0.039062,-2.9875,0,128,0.26386,0.039062,-0.93026,128,64,0.33962,0.015625,1.4648,0,256,0.23831,0.019531,2.5433,0,256,0.18853,0.046875,2.3748,608,256,0.16846,0.015625,2.4963,96,64,0.13557,0.046875,-1.7967,128,128,0.12614,0.023438,-0.83144,688,128,0.10365,0.03125,1.76,592,256,0.10248,0.027344,-2.0245,0,64,0.095971,0.078125,-2.8626,96,64,0.091448,0.046875,1.1617,760,64,0.089623,0.0625,-1.8428,152,64,0.088046,0.015625,1.2343,40,-0.70256,0.059326,0.12435,0.023336,0.08214,0.092023,0.00764,-0.0075878,0.021258,0.018803,0.027738,0.037858,0.018015,0.022664,0.017912,normal
128,0.56148,0.015625,-1.3879,688,256,0.35159,0.015625,-0.47487,0,128,0.32191,0.023438,-1.0356,784,256,0.29487,0.03125,-3.109,576,256,0.20272,0.0078125,2.333,640,64,0.22694,0.015625,-1.0859,0,256,0.17576,0.015625,-2.5856,544,32,0.099634,0,0,52,128,0.12444,0.054688,-0.24213,624,256,0.10538,0.019531,2.8568,640,128,0.097558,0.039062,-0.23533,576,64,0.090404,0.0625,-2.3776,736,64,0.08313,0.03125,-2.5706,120,128,0.083822,0.085938,-2.5568,640,32,0.084379,0.03125,-2.0894,0,-1.1024,0.21296,0.077759,-0.040482,0.11694,0.030881,-0.085141,0.02941,0.075292,-0.02909,-0.029324,0.045537,0.0088675,-0.051479,0.051963,normal
256,0.79704,0.019531,2.2281,0,128,0.51742,0.03125,-2.0471,704,128,0.3239,0.015625,-1.6906,784,64,0.26635,0.03125,0.50829,56,256,0.21614,0.019531,-1.8038,608,128,0.21311,0.023438,-2.937,96,64,0.23848,0.015625,-1.1675,16,64,0.16938,0.046875,1.1305,80,64,0.16625,0.046875,2.563,752,256,0.16462,0.015625,-3.0273,128,64,0.14956,0.0625,1.2234,0,128,0.16477,0.0078125,1.3789,848,64,0.15724,0.015625,1.8733,776,128,0.10666,0.023438,2.5905,304,32,0.10415,0.09375,-0.75592,740,-1.0259,0.76949,-0.26833,-0.089407,0.32467,-0.086324,-0.097189,0.18244,0.043507,-0.023108,0.096467,0.023356,-0.027755,0.039668,0.067594,abnormal
128,0.74307,0.039062,-0.1124,16,128,0.39812,0.03125,-0.38791,96,64,0.34453,0.03125,2.0358,0,256,0.22467,0.023438,2.7926,704,256,0.18102,0.023438,-1.3389,448,128,0.15188,0.03125,-0.32747,176,64,0.14073,0.03125,3.1053,72,256,0.13425,0.019531,-1.5216,608,32,0.14212,0.03125,-1.9897,40,256,0.10956,0.015625,-2.3372,32,128,0.098145,0.046875,1.9449,128,256,0.080678,0.023438,2.5514,288,128,0.081396,0.023438,1.9385,256,128,0.079805,0.023438,-2.2379,576,128,0.079501,0.023438,1.7443,832,-1.8312,2.0013,-1.1515,0.13224,0.59609,-0.44798,0.056707,0.32626,-0.22194,-0.00038742,0.18286,-0.061741,0.047849,-0.048116,0.024236,abnormal
