@relation FeaturesSetC_IG

@attribute MFCC5_Dias numeric
@attribute MFCC5_Sys numeric
@attribute LPC_Coefficient5 numeric
@attribute LPC_Coefficient4 numeric
@attribute atomFreq6 numeric
@attribute MFCC6_S2 numeric
@attribute atomFreq5 numeric
@attribute atomFreq7 numeric
@attribute MFCC5_S2 numeric
@attribute atomFreq8 numeric
@attribute atomFreq9 numeric
@attribute atomFreq10 numeric
@attribute MFCC6_S1 numeric
@attribute LPC_Coefficient6 numeric
@attribute atomFreq4 numeric
@attribute MFCC6_Sys numeric
@attribute LPC_Coefficient9 numeric
@attribute atomFreq13 numeric
@attribute atomFreq3 numeric
@attribute MFCC6_Dias numeric
@attribute LPC_Coefficient2 numeric
@attribute atomFreq11 numeric
@attribute LPC_Coefficient10 numeric
@attribute atomFreq14 numeric
@attribute atomFreq12 numeric
@attribute LPC_Coefficient8 numeric
@attribute MFCC5_S1 numeric
@attribute atomFreq2 numeric
@attribute MFCC2_S2 numeric
@attribute LPC_Coefficient14 numeric
@attribute atomFreq15 numeric
@attribute LPC_Coefficient15 numeric
@attribute atomFreq1 numeric
@attribute atomLen6 numeric
@attribute LPC_Coefficient11 numeric
@attribute MFCC4_S2 numeric
@attribute atomLen7 numeric
@attribute MFCC3_Dias numeric
@attribute MFCC13_Dias numeric
@attribute MFCC2_S1 numeric
@attribute MFCC7_Sys numeric
@attribute atomLen5 numeric
@attribute atomLen8 numeric
@attribute LPC_Coefficient3 numeric
@attribute atomLen4 numeric
@attribute MFCC7_Dias numeric
@attribute MFCC9_Dias numeric
@attribute atomLen9 numeric
@attribute LPC_Coefficient7 numeric
@attribute MFCC1_S1 numeric
@attribute MFCC12_Dias numeric
@attribute atomLen1 numeric
@attribute atomLen11 numeric
@attribute MFCC1_S2 numeric
@attribute MFCC4_Sys numeric
@attribute LPC_Coefficient13 numeric
@attribute atomLen13 numeric
@attribute LPC_Coefficient12 numeric
@attribute MFCC11_Dias numeric
@attribute atomLen3 numeric
@attribute MFCC13_Sys numeric
@attribute MFCC2_Dias numeric
@attribute atomLen10 numeric
@attribute atomPos4 numeric
@attribute atomPos3 numeric
@attribute atomLen2 numeric
@attribute MFCC3_Sys numeric
@attribute atomPos1 numeric
@attribute atomPos2 numeric
@attribute MFCC9_S1 numeric
@attribute MFCC4_S1 numeric
@attribute MFCC4_Dias numeric
@attribute MFCC1_Dias numeric
@attribute atomAmp2 numeric
@attribute atomPos5 numeric
@attribute MFCC9_Sys numeric
@attribute MFCC14_Dias numeric
@attribute atomLen15 numeric
@attribute atomPos11 numeric
@attribute atomAmp1 numeric
@attribute MFCC10_Dias numeric
@attribute atomAmp3 numeric
@attribute MFCC9_S2 numeric
@attribute atomPos14 numeric
@attribute LPC_Coefficient16 numeric
@attribute MFCC8_Dias numeric
@attribute MFCC14_Sys numeric
@attribute atomLen14 numeric
@attribute atomLen12 numeric
@attribute atomPos6 numeric
@attribute MFCC3_S2 numeric
@attribute MFCC12_Sys numeric
@attribute MFCC7_S2 numeric
@attribute atomPos15 numeric
@attribute MFCC10_Sys numeric
@attribute atomPos8 numeric
@attribute MFCC11_Sys numeric
@attribute MFCC2_Sys numeric
@attribute atomPos12 numeric
@attribute MFCC3_S1 numeric
@attribute atomAmp4 numeric
@attribute atomPos10 numeric
@attribute MFCC10_S1 numeric
@attribute atomPos9 numeric
@attribute MFCC1_Sys numeric
@attribute MFCC7_S1 numeric
@attribute atomPos7 numeric
@attribute MFCC10_S2 numeric
@attribute MFCC8_S1 numeric
@attribute atomPos13 numeric
@attribute MFCC12_S2 numeric
@attribute MFCC8_S2 numeric
@attribute MFCC14_S1 numeric
@attribute atomAmp5 numeric
@attribute MFCC13_S1 numeric
@attribute atomAmp6 numeric
@attribute Class {abnormal,normal}

@data
0.005386,-0.13903,0.066627,-0.091203,0.012804,-0.16118,0.012424,0.011773,0.19291,0.017687,0.015734,0.012424,0.31592,0.021835,0.01161,0.34176,0.032642,0.018555,0.010634,0.33299,-0.62574,0.015842,-0.002811,0.017958,0.015951,0.004142,0.61602,0.014865,5.5539,-0.007186,0.026367,0.005639,0.015516,198.22,0.02004,1.7086,241.78,0.64371,-0.076742,4.9964,0.19917,189.33,256,-0.16541,272.89,0.18773,0.11694,177.78,0.066753,-7.3987,-0.087877,168.89,162.67,-5.6082,2.2494,0.007972,168,-0.002604,0.034579,192,-0.083232,5.0254,281.78,358.56,143.78,190.22,0.51431,512.44,193.78,-0.016972,2.0889,2.4473,-11.415,3.5921,401.56,0.12171,-0.003179,208,358.44,4.5618,-0.25804,2.1344,0.088196,364.44,0.015642,-0.054748,0.010123,217.78,224.89,415,2.2691,-0.080754,-0.072039,359.33,-0.26263,366,0.056302,4.9141,337.78,2.2348,1.7381,294.89,-0.15521,329.67,-11.148,0.18682,419,0.052445,-0.1194,509.22,-0.020232,-0.10177,0.027152,1.4003,-0.067691,1.2089,abnormal
0.022267,-0.86096,0.073819,-0.04331,0.018329,-0.04964,0.017954,0.014799,-0.11832,0.015099,0.020358,0.015625,0.084944,0.084046,0.014348,0.30669,0.025517,0.016526,0.011493,0.041163,-0.66822,0.019606,0.014925,0.020959,0.016526,0.046261,-0.42869,0.010817,5.8408,-0.0073,0.020883,0.002698,0.014423,194.46,0.007038,0.89912,237.54,1.1561,-0.052884,6.4361,0.54066,172.31,189.54,-0.16715,204.31,0.12035,0.20201,146.46,0.074106,0.39934,-0.035862,153.85,158.77,-2.4805,-0.37926,-0.004811,150.15,0.001551,-0.034504,169.85,0.018652,5.8064,194.46,273.08,221.23,172.31,-1.4118,265.54,170.15,-0.025349,0.18162,1.8034,-9.0874,2.9765,288.92,-0.11645,-0.015843,163.69,290.62,3.6757,-0.071987,2.2958,0.039099,306.31,0.017446,-0.15658,0.029027,180.92,209.23,260.92,1.3278,0.072232,0.1429,328.46,-0.27947,320.62,0.031685,6.1933,335.54,-0.035604,1.5927,238.92,-0.30189,322.77,-0.16486,0.38297,187.38,-0.020167,-0.024289,391.54,0.001564,-0.12906,0.055947,1.4426,0.043078,1.173,abnormal
0.44658,0.59195,0.051833,-0.070702,0.016172,0.082468,0.015,0.017031,0.49066,0.012188,0.014766,0.014531,0.004784,0.093651,0.01375,0.13629,0.023949,0.011641,0.011875,0.17405,-0.65209,0.019062,-0.001201,0.013437,0.012734,0.054066,0.6196,0.010313,5.4023,-0.006013,0.014063,0.000951,0.010469,230.4,-0.012234,1.5961,224,2.0595,0.01504,5.583,0.046059,243.2,218.88,-0.29938,235.52,0.10265,-0.07451,198.4,0.084898,-10.254,0.035839,343.04,175.36,-10.851,1.6803,-0.011187,253.44,-0.01414,-0.045491,153.6,0.006028,5.8877,240.64,346.88,44.32,184.32,2.4928,392.96,76.16,-0.068772,1.7556,1.7641,-18.816,7.152,355.84,-0.07598,-0.013304,215.04,221.12,7.8473,-0.14026,3.3659,-0.13854,480.8,0.010886,-0.24742,-0.008842,190.72,199.68,513.28,2.5577,0.008172,0.080871,346.4,-0.12065,375.36,-0.056302,5.5578,397.76,3.1022,2.8078,214.24,0.011072,345.12,-15.698,-0.1437,480.64,-0.11158,-0.19223,358.72,-0.023939,-0.16768,-0.056481,2.3391,-0.050516,2.169,abnormal
0.062019,0.009851,0.007092,-0.098094,0.012388,-0.35068,0.015681,0.015625,-0.23815,0.01317,0.019364,0.016853,0.30575,0.057823,0.012723,0.085281,0.039446,0.017188,0.014397,0.17611,-0.55024,0.020089,0.017679,0.019699,0.018136,0.059406,0.8535,0.014732,6.1326,-0.014506,0.021819,-0.001343,0.013616,239.54,-0.000135,0.82175,187.43,1.5843,-0.081665,5.2538,0.15035,227.66,192,-0.27663,201.14,0.20926,0.068534,160,0.069923,-4.3783,-0.039131,237.71,196.57,-3.8501,1.1937,-0.017562,192.91,-0.012281,-0.035114,171.89,-0.062157,6.1324,209.37,206.17,445.71,149.94,1.4893,1.8286,120.91,-0.075571,1.8339,1.3649,-12.182,4.3248,293.83,0.061816,-0.009404,205.71,434.51,7.0216,-0.12441,2.9936,0.19215,410.74,0.022958,-0.1111,-0.000834,172.8,185.6,302.06,2.1195,-0.048153,-0.18363,273.6,-0.093721,384,0.000096,6.047,417.14,3.0088,2.217,264.57,-0.097109,340.91,-11.111,0.071147,287.09,0.057939,-0.072483,372.11,-0.024264,-0.045076,-0.035841,1.7132,-0.041443,1.409,abnormal
0.68416,0.64789,0.031783,-0.055762,0.015437,0.26909,0.018292,0.016264,0.7932,0.016339,0.01585,0.014761,0.3569,0.06099,0.013672,0.17717,0.029287,0.020733,0.015024,0.17741,-0.48214,0.020132,0.02682,0.022611,0.01709,0.043123,1.0621,0.014573,5.3314,-0.009899,0.020883,-0.005115,0.016602,145.85,0.017897,1.5921,174.77,2.2129,-0.047326,4.9891,0.15107,131.08,175.38,-0.22412,144.62,0.16835,-0.075291,187.69,0.057093,-5.1693,-0.06262,177.23,157.54,-7.8392,1.6754,-0.004035,143.38,0.007226,-0.10018,133.54,-0.030535,5.5715,157.54,187.62,240.31,166.15,1.9919,5.2308,100.15,-0.19252,2.0212,1.8202,-14.562,3.5909,126.92,-0.04829,0.000952,160,260.15,6.2405,-0.11422,2.7418,-0.14951,262.69,0.012231,-0.10888,0.006898,177.85,150.15,215.08,2.6039,-0.059299,0.092728,305.23,-0.088864,221.46,-0.08266,5.2134,262.54,3.1302,2.1133,208.54,-0.17193,260.92,-14.178,0.048671,167.54,-0.15685,-0.13667,207.46,-0.082615,-0.1104,-0.016704,1.5067,-0.015046,1.2127,abnormal
0.48879,0.53925,2.163,2.1846,0.41849,0.21474,0.42318,0.39382,0.56135,0.37188,0.40658,0.36973,0.14728,1.9574,0.44154,0.15552,0.99073,0.35762,0.43711,0.13362,1.5377,0.36328,0.75316,0.38796,0.35117,1.3062,0.42985,0.42891,5.37,0.19072,0.37858,0.099496,0.46491,194.13,0.56913,1.3137,213.33,2.4433,-0.030195,4.5704,0.034181,144,133.33,1.9363,154.67,-0.005499,-0.10209,226.13,1.6468,-1.1177,-0.025188,182.4,189.87,-2.9357,1.4719,0.31948,126.93,0.44739,-0.048668,93.867,-0.045059,5.5881,165.33,711.2,648.4,59.733,2.5077,603.2,687.6,-0.10569,1.028,1.3494,-3.5968,1.9668,631.47,-0.088377,0.004071,224,491.6,2.1586,-0.092491,1.8452,-0.093302,658.27,0.050356,-0.18779,-0.00959,146.13,262.4,535.2,2.4003,-0.020064,0.045709,549.07,-0.097715,914.8,-0.033807,5.8907,657.2,1.9416,1.7519,738.53,-0.081125,712,-4.2856,0.00548,685.47,-0.092378,-0.12665,846.27,-0.009105,-0.15284,0.003995,1.6969,-0.033197,1.6626,abnormal
0.17372,0.18627,0.092061,-0.014876,0.017671,0.028804,0.013625,0.019206,0.26744,0.015765,0.016369,0.017578,-0.1269,0.10648,0.01516,0.040202,0.014252,0.019857,0.014276,0.013685,-0.78387,0.013253,-0.007576,0.014974,0.016834,0.047186,0.26912,0.01223,5.9727,-0.003602,0.016927,0.01404,0.014602,192,-0.021192,0.91511,151.62,1.9521,-0.034888,5.8407,0.12474,245.33,215.62,-0.27398,189.71,0.12113,-0.03298,214.1,0.082712,-4.7794,-0.034053,121.9,216.38,-6.4628,0.93231,-0.018887,201.9,-0.025113,-0.056481,186.67,-0.036564,6.4338,151.62,183.62,305.9,219.43,2.1386,33.333,286.86,-0.01208,1.2183,0.98194,-12.895,3.0758,212.76,0.006539,0.004197,170.67,331.33,4.8877,-0.088718,2.3727,-0.0008,359.43,0.022336,-0.081061,-0.012458,223.24,171.43,265.43,2.3059,-0.039272,0.021358,371.81,-0.065722,332.95,-0.065488,6.2066,325.33,2.8458,1.7754,305.62,-0.005037,281.62,-11.739,-0.12395,270.19,-0.045105,-0.087645,316.38,-0.039731,-0.049079,-0.008154,1.419,-0.024028,1.2564,normal
0.49445,0.48886,1.1579,1.2455,0.39691,0.37505,0.39959,0.39905,0.46519,0.41104,0.40552,0.41085,0.23304,0.9617,0.39622,0.42801,0.64728,0.40487,0.39798,0.36655,1.3561,0.39805,0.5865,0.39622,0.39147,0.75601,0.38163,0.39568,4.8681,0.14219,0.41234,0.044291,0.40288,181.96,0.5348,1.8579,180.71,1.913,-0.091951,4.1847,0.046775,236.55,217.73,1.3429,242.2,0.008889,0.039839,178.2,0.82472,-8.4351,0.009257,158.12,195.14,-10.109,2.056,0.28664,219.61,0.41616,-0.058706,179.45,-0.083623,4.9801,171.92,659.29,840,180.71,1.9925,447.69,675.76,-0.012883,1.3213,1.8747,-10.467,2.0089,498.04,0.054443,0.036138,195.14,434.82,2.4113,-0.22965,1.9466,0.00425,473.57,0.005048,-0.28247,0.044754,213.33,111.06,541.96,1.9333,-0.010335,0.073387,452,-0.23437,672.78,-0.054418,5.1601,502.2,1.6852,1.8892,565.41,-0.16877,601.18,-10.987,0.004606,542.2,-0.23291,-0.18139,457.33,-0.007026,-0.2459,0.011693,1.8087,-0.06,1.7121,abnormal
-0.052618,-0.065616,0.025482,-0.066251,0.018725,0.31743,0.01571,0.017154,0.15391,0.019828,0.017875,0.021315,0.22945,0.058018,0.015413,0.49203,0.02864,0.021824,0.013884,0.45704,-0.5521,0.018767,0.019336,0.022079,0.019276,0.043147,0.1812,0.014861,5.2716,0.000313,0.021951,-0.001553,0.014946,248.35,0.014743,1.8891,228.17,1.6657,-0.0655,5.1524,-0.028024,235.13,197.57,-0.24282,209.39,-0.051178,0.084724,147.48,0.057323,-9.1361,0.011903,202.43,186.43,-9.6998,2.1214,0.005822,204.52,0.010928,0.074205,208,-0.0623,5.1687,158.61,258.61,224.87,205.22,1.5952,151.65,270.96,-0.031431,1.9771,2.3184,-11.822,1.6553,319.48,0.074257,0.084069,196.17,286.43,2.0723,-0.39879,1.3395,-0.007641,226.96,0.004142,-0.42735,0.084028,192,176,304.87,1.8884,0.011597,-0.022583,366.61,-0.38872,267.13,0.066544,5.0826,284,2.0805,1.1251,376.96,-0.30037,353.39,-11.483,-0.11207,277.65,-0.32086,-0.4006,328.35,0.032762,-0.36732,0.06306,0.94125,-0.047831,0.8285,normal
-0.22365,-0.22608,0.13434,0.062782,0.01638,0.004173,0.015225,0.0182,0.035075,0.018422,0.022061,0.019043,-0.21364,0.113,0.013627,0.022428,-0.014083,0.020241,0.016824,0.17723,-0.85566,0.022994,-0.014411,0.025435,0.020508,0.004646,-0.053317,0.018022,5.8477,0.010826,0.021174,0.009012,0.016069,152.73,-0.00517,1.0988,203.64,0.17828,-0.038507,5.9003,0.081913,152,204.36,-0.18778,138.18,0.18496,0.094007,185.45,0.05279,-7.5221,-0.062753,135.27,157.09,-8.9511,1.5162,-0.010268,202.18,0.000769,0.010347,154.91,-0.042494,5.573,194.18,181.73,155.91,107.64,0.34184,151.27,435.64,0.10122,1.1722,1.8758,-15.529,3.0869,249.09,0.06315,0.019386,141.82,276,3.871,-0.17433,2.3578,0.045079,275.55,0.012166,-0.28931,0.021954,165.82,140.36,224.64,1.0943,-0.041635,0.15642,331.36,-0.15783,259.82,-0.024613,5.6639,326.64,1.5023,1.879,291.45,-0.014176,289.18,-14.336,-0.058762,316.55,-0.20012,-0.11643,325.64,0.001093,-0.039209,0.016489,1.574,-0.034848,1.24,abnormal
