atomLen1,atomAmp1,atomFreq1,atomPhase1,atomPos1,atomLen2,atomAmp2,atomFreq2,atomPhase2,atomPos2,atomLen3,atomAmp3,atomFreq3,atomPhase3,atomPos3,atomLen4,atomAmp4,atomFreq4,atomPhase4,atomPos4,atomLen5,atomAmp5,atomFreq5,atomPhase5,atomPos5,atomLen6,atomAmp6,atomFreq6,atomPhase6,atomPos6,atomLen7,atomAmp7,atomFreq7,atomPhase7,atomPos7,atomLen8,atomAmp8,atomFreq8,atomPhase8,atomPos8,atomLen9,atomAmp9,atomFreq9,atomPhase9,atomPos9,atomLen10,atomAmp10,atomFreq10,atomPhase10,atomPos10,atomLen11,atomAmp11,atomFreq11,atomPhase11,atomPos11,atomLen12,atomAmp12,atomFreq12,atomPhase12,atomPos12,atomLen13,atomAmp13,atomFreq13,atomPhase13,atomPos13,atomLen14,atomAmp14,atomFreq14,atomPhase14,atomPos14,atomLen15,atomAmp15,atomFreq15,atomPhase15,atomPos15,LPC_Coefficient2,LPC_Coefficient3,LPC_Coefficient4,LPC_Coefficient5,LPC_Coefficient6,LPC_Coefficient7,LPC_Coefficient8,LPC_Coefficient9,LPC_Coefficient10,LPC_Coefficient11,LPC_Coefficient12,LPC_Coefficient13,LPC_Coefficient14,LPC_Coefficient15,LPC_Coefficient16,Class
182.4,2.1586,0.46491000000000005,0.32426,603.2,59.733000000000004,1.9668,0.42891,-0.20277,687.6,93.867,1.8452,0.43711000000000005,-0.6884899999999999,648.4,154.67,1.7519,0.44154,-0.12955,711.2,144.0,1.6969,0.42318,-0.42333000000000004,631.47,194.13,1.6626,0.41849,-0.10513,535.2,213.33,1.62,0.39382,-0.17001,685.47,133.33,1.5928,0.37188000000000004,-0.0094324,914.8,226.13,1.5651,0.40658,-0.095888,712.0,165.33,1.5014,0.36973,-0.7147,738.53,189.87,1.5052,0.36328,0.003348,491.6,262.4,1.4656,0.35117,0.3054,657.2,126.93,1.4579,0.35762,-0.24226999999999999,846.27,146.13,1.4687,0.38795999999999997,-0.28283,658.27,224.0,1.4244,0.37858,-0.55104,549.07,1.5377,1.9363,2.1846,2.1630000000000003,1.9574,1.6468,1.3062,0.9907299999999999,0.75316,0.56913,0.44738999999999995,0.31948000000000004,0.19072,0.099496,0.050356,abnormal
158.12,2.4113,0.40288,0.13165,447.69,180.71,2.0089,0.39568000000000003,-1.0024,675.76,179.45,1.9466,0.39798,-1.1017,840.0,242.2,1.8892,0.39621999999999996,-0.19693,659.29,236.55,1.8087,0.39959,-1.0987,498.04,181.96,1.7121,0.39691,-0.44348000000000004,541.96,180.71,1.626,0.39905,-1.1905,542.2,217.73,1.5743,0.41103999999999996,-1.153,672.78,178.2,1.5303,0.40552,-0.88859,601.18,171.92,1.4966,0.41085,-0.3611,565.41,195.14,1.4507,0.39805,-0.32522,434.82,111.06,1.4254,0.39147,-0.22696999999999998,502.2,219.61,1.4199,0.40487,-1.1295,457.33,213.33,1.3851,0.39621999999999996,-0.75983,473.57,195.14,1.3404,0.41234,-0.43098000000000003,452.0,1.3561,1.3429,1.2455,1.1579,0.9617,0.8247200000000001,0.7560100000000001,0.64728,0.5865,0.5348,0.41616000000000003,0.28664,0.14219,0.044291000000000004,0.0050479999999999995,abnormal
106.67,1.0686,0.31993,-1.0844,529.88,77.176,0.95125,0.28784,0.73059,788.0,208.31,0.90817,0.31346,-0.063136,615.06,175.69,0.8855,0.28918,-0.1409,590.82,208.31,0.85016,0.32426,0.35331,523.22,158.12,0.81695,0.28359,-0.39916,632.39,189.49,0.80886,0.33689,-0.3375,610.43,218.98,0.79003,0.32571,0.11748,564.94,204.55,0.7662899999999999,0.32035,-0.038945999999999995,605.02,217.73,0.75554,0.32579,0.070314,497.96,218.98,0.7354,0.31759,-0.1223,572.63,168.78,0.7225,0.32552,-0.41863999999999996,709.57,190.12,0.71229,0.32004,-0.12128,634.51,136.78,0.7004600000000001,0.3153,0.11925,744.55,171.29,0.69627,0.31522,-0.62042,687.69,0.99736,0.8741200000000001,0.7118899999999999,0.6460899999999999,0.56496,0.5017699999999999,0.42993000000000003,0.38023,0.29985,0.23724,0.1741,0.16169,0.1534,0.10930999999999999,0.033749,abnormal
82.196,1.4680000000000002,0.3912,0.45468000000000003,151.29,154.35,1.3028,0.38916999999999996,0.27978000000000003,149.88,130.51,1.2196,0.39618000000000003,0.3378,248.0,94.118,1.2049,0.38718,-0.039092,264.24,180.08,1.1353,0.35106,0.089533,137.18,124.86,1.0951,0.37263,0.55957,153.65,110.43,1.0349,0.38404,0.05296699999999999,177.02,108.55,1.0136,0.38994,0.25593,204.86,87.21600000000001,0.9941700000000001,0.38898,0.046265,273.88,156.86,0.9797600000000001,0.39576,0.12693,247.92,117.96,0.95311,0.34746,-0.6401,293.96,112.31,0.94481,0.37025,-0.042214999999999996,278.12,104.16,0.9142100000000001,0.33161,0.2604,293.25,105.41,0.8997700000000001,0.36217,0.45771999999999996,347.84,168.16,0.87739,0.3516,0.47818,310.51,1.19,1.1235,0.97004,0.8460799999999999,0.73969,0.62702,0.53659,0.46841000000000005,0.41722,0.40396,0.32550999999999997,0.24602,0.1643,0.11200999999999998,0.059539,abnormal
249.6,1.6307,0.45111,-0.48206000000000004,690.53,169.6,1.5137,0.41471,0.34533,947.73,133.33,1.4226,0.43717,0.7347899999999999,958.67,205.87,1.4426,0.45098,-0.26205,679.07,188.8,1.3677,0.43568,0.19047999999999998,619.6,199.47,1.2421,0.44218999999999997,-0.74844,529.33,187.73,1.2086,0.40443,-0.045443,531.6,141.87,1.204,0.41608,-0.73154,587.73,155.73,1.2027,0.40703,-0.26032,580.93,176.0,1.1581,0.40565999999999997,0.1396,482.4,145.07,1.1708,0.44043000000000004,-0.21716,501.73,119.47,1.1106,0.43112,-0.10902,691.07,163.2,1.1135,0.40371,-0.43971000000000005,653.47,153.6,1.0971,0.38359,-0.5244,788.13,274.13,1.0877,0.42141999999999996,0.11845,460.8,1.4667,1.7912,1.9847,2.0062,1.8942,1.6982,1.4359,1.1502,0.88764,0.66856,0.51676,0.37351,0.23838,0.13609000000000002,0.049492,abnormal
89.725,1.166,0.41023000000000004,0.16546,377.18,205.8,1.1658,0.43608,-1.1849,726.43,77.176,1.0529,0.42793000000000003,-0.42622,546.9,87.21600000000001,0.98836,0.39871,0.50379,666.2,104.16,0.95852,0.37538,0.78309,632.78,139.92,0.9279200000000001,0.41008,0.7023,696.55,97.255,0.9043200000000001,0.38634,0.94991,645.88,175.69,0.9145399999999999,0.41046000000000005,0.45205,635.29,180.08,0.8908200000000001,0.4128,0.67832,573.18,143.06,0.8792200000000001,0.37328,0.60539,651.29,155.61,0.87375,0.39177,0.42126,731.29,70.902,0.8579700000000001,0.37446,0.043751,655.22,180.08,0.83935,0.36263,-0.18109,664.78,146.82,0.8358,0.36198,-0.14353,621.33,165.02,0.79914,0.35493,0.50873,679.14,1.015,0.9197299999999999,0.78283,0.6795100000000001,0.58338,0.5015,0.43905,0.39601,0.32506,0.25953000000000004,0.21506999999999998,0.1323,0.096412,0.07507,0.026383999999999998,abnormal
190.93,1.0602,0.30755,-0.20352,718.67,148.27,0.9909600000000001,0.28197,-0.10067000000000001,748.13,213.33,0.9631799999999999,0.27773000000000003,0.069899,714.0,154.67,0.9532700000000001,0.28952,0.18613,860.67,199.47,0.9347200000000001,0.29147,0.14101,612.8,142.93,0.9180299999999999,0.30182,0.15897,629.87,139.73,0.90884,0.31693000000000005,0.12499,764.67,148.27,0.89007,0.29811,0.10459,696.27,148.27,0.87708,0.30013,0.11975,652.13,157.87,0.8621200000000001,0.29043,0.067626,642.13,156.8,0.8608600000000001,0.2748,0.29475,878.8,181.33,0.84698,0.28815,0.16492,745.07,203.73,0.83815,0.28848,0.36995,701.33,170.67,0.8270299999999999,0.29447,-0.083678,789.87,119.47,0.81525,0.34505,0.51232,692.13,1.2517,1.4096,1.4265,1.2682,1.0558,0.86506,0.68375,0.5702,0.5017,0.43178999999999995,0.37945999999999996,0.3085,0.2233,0.14447000000000002,0.05134,abnormal
44.549,0.9275,0.32131,0.28497,254.04,75.922,0.8486600000000001,0.35918,-0.15474000000000002,501.57,128.0,0.7995,0.3508,-0.062943,556.16,131.14,0.76656,0.35646,0.16912,421.49,116.71,0.7438600000000001,0.34658,-0.36085,406.35,121.1,0.72737,0.34171999999999997,-0.13799,453.88,197.02,0.70655,0.35126,0.14632,523.69,142.43,0.69252,0.33318000000000003,0.30378,557.41,193.88,0.68165,0.36811,0.11387,518.43,171.92,0.67252,0.34199,-0.22300999999999999,397.1,203.29,0.65754,0.35279,-0.75776,399.29,187.61,0.64975,0.37435,-0.26715,370.75,175.69,0.6441100000000001,0.35769,-0.18448,429.41,138.67,0.64961,0.36079,0.34633,412.94,160.0,0.63157,0.33295,-0.74429,461.18,1.053,1.0132,0.87689,0.75563,0.66022,0.56072,0.48293,0.41158999999999996,0.36776,0.32186,0.25973,0.16355,0.06605,-0.012637,-0.02062,abnormal
220.31,0.9544100000000001,0.38585,1.159,444.23,247.38,0.89975,0.42732,-0.81835,524.15,273.23,0.86864,0.42258999999999997,-0.77815,607.23,209.85,0.82294,0.3581,0.15484,506.92,214.77,0.79465,0.41185,0.19525,551.15,191.38,0.7638699999999999,0.39663000000000004,0.97335,567.31,264.62,0.75744,0.37921,0.6111,508.38,177.85,0.7489899999999999,0.34465,0.3968,412.23,208.62,0.74457,0.36691999999999997,0.37311,433.92,160.62,0.72714,0.33624,0.3182,355.46,142.15,0.71628,0.3507,-0.15600999999999998,380.85,115.69,0.70562,0.3362,0.30115,355.85,187.08,0.69909,0.34995,-0.42348,429.46,182.77,0.68318,0.34171999999999997,0.12094,357.92,177.85,0.6843600000000001,0.37271,-0.24064000000000002,462.62,1.1248,1.0169,0.93004,0.8051,0.66259,0.51942,0.46035,0.37613,0.30623,0.31082,0.29649000000000003,0.22189,0.19029000000000001,0.12506,0.066848,abnormal
129.1,2.0798,0.45056999999999997,0.5797399999999999,297.79,100.41,1.9955,0.43198000000000003,-1.21,125.24,114.76,1.8408,0.43656000000000006,-0.9059200000000001,253.52,109.24,1.6983,0.41836999999999996,-0.19155,291.31,155.59,1.6765,0.41358999999999996,0.41439,259.31,135.72,1.6092,0.44611999999999996,0.39268000000000003,241.66,139.03,1.5119999999999998,0.42376,-0.33462,233.66,107.03,1.4985,0.4373,-0.17635,347.59,125.79,1.4154,0.41358999999999996,-0.11200999999999998,237.52,134.62,1.3753,0.41083000000000003,-0.017503,185.52,65.10300000000001,1.3131,0.41676,0.10243,201.52,179.86,1.2589,0.38099,0.9303299999999999,226.07,114.76,1.228,0.42982,0.21481999999999998,181.93,176.55,1.2377,0.41501000000000005,-0.10627,247.17,99.31,1.2009999999999998,0.38308000000000003,0.43578999999999996,336.69,1.5007,1.82,1.954,1.9880000000000002,1.8172,1.494,1.2115,1.0281,0.8944200000000001,0.7694300000000001,0.63,0.46771,0.28833000000000003,0.12524000000000002,0.031763,abnormal
