atomLen1,atomAmp1,atomFreq1,atomPhase1,atomPos1,atomLen2,atomAmp2,atomFreq2,atomPhase2,atomPos2,atomLen3,atomAmp3,atomFreq3,atomPhase3,atomPos3,atomLen4,atomAmp4,atomFreq4,atomPhase4,atomPos4,atomLen5,atomAmp5,atomFreq5,atomPhase5,atomPos5,atomLen6,atomAmp6,atomFreq6,atomPhase6,atomPos6,atomLen7,atomAmp7,atomFreq7,atomPhase7,atomPos7,atomLen8,atomAmp8,atomFreq8,atomPhase8,atomPos8,atomLen9,atomAmp9,atomFreq9,atomPhase9,atomPos9,atomLen10,atomAmp10,atomFreq10,atomPhase10,atomPos10,atomLen11,atomAmp11,atomFreq11,atomPhase11,atomPos11,atomLen12,atomAmp12,atomFreq12,atomPhase12,atomPos12,atomLen13,atomAmp13,atomFreq13,atomPhase13,atomPos13,atomLen14,atomAmp14,atomFreq14,atomPhase14,atomPos14,atomLen15,atomAmp15,atomFreq15,atomPhase15,atomPos15,LPC_Coefficient1,LPC_Coefficient2,LPC_Coefficient3,LPC_Coefficient4,LPC_Coefficient5,LPC_Coefficient6,LPC_Coefficient7,LPC_Coefficient8,LPC_Coefficient9,LPC_Coefficient10,LPC_Coefficient11,LPC_Coefficient12,LPC_Coefficient13,LPC_Coefficient14,LPC_Coefficient15,Class
32,1.3219999999999998,0.40625,-1.8811,628,32,1.2048,0.375,0.15386,1408,256,1.1327,0.375,-0.7166600000000001,832,32,1.0882,0.40625,-0.92914,692,256,1.0476,0.33203,2.696,992,64,0.99464,0.35938000000000003,-2.4814,808,32,0.982,0.40625,-1.2016,244,128,0.9795200000000001,0.33594,1.1397,704,32,0.94781,0.375,-2.8088,1140,32,0.93281,0.40625,-2.8665,1092,32,0.9122299999999999,0.34375,-2.8251,24,128,0.9076700000000001,0.33594,1.0403,912,256,0.8993,0.33203,-0.7388,1248,256,0.88082,0.41016,-2.3929,1472,64,0.87576,0.4375,-1.8535,736,2.7929,4.5949,5.4547,5.4641,5.1409,4.7268,4.1663,3.4411,2.7149,2.1071,1.6119999999999999,1.188,0.78054,0.38816,0.10550999999999999,abnormal
128,0.22716999999999998,0.36719,2.5605,624,128,0.20803000000000002,0.41406000000000004,0.8202299999999999,0,32,0.18392999999999998,0.375,-2.0053,492,256,0.18391,0.42968999999999996,0.8645299999999999,1344,64,0.17405,0.42188000000000003,2.5104,944,64,0.16465,0.34375,2.897,24,64,0.16348,0.39061999999999997,0.0097512,440,64,0.16104000000000002,0.39061999999999997,-2.3223,808,256,0.15604,0.42578,1.3274,416,64,0.14542,0.4375,-2.3051,344,64,0.14502,0.42188000000000003,-2.6372,1552,32,0.14252,0.4375,-0.44342,1244,256,0.14281,0.46093999999999996,-1.8475,1376,32,0.13962,0.375,-2.0666,1636,32,0.15425,0.46875,2.0373,148,1.8447,2.3606,2.5662,2.7458,2.7752,2.6791,2.4862,2.2619,1.9805,1.6866,1.3601,1.0079,0.65358,0.33087,0.058574,abnormal
256,0.24166999999999997,0.48438000000000003,-1.9454,1088,32,0.21349,0.40625,2.3918,564,256,0.21209,0.45311999999999997,-2.2915,832,128,0.18367,0.49218999999999996,-2.6249,240,256,0.19455999999999998,0.45703,-0.29772,288,128,0.19455,0.44531000000000004,2.0505,1616,128,0.18905999999999998,0.48438000000000003,3.1199,848,128,0.18566,0.48438000000000003,-1.2793,1264,256,0.1823,0.42578,-2.7223,1216,128,0.17140999999999998,0.34375,2.8502,1280,32,0.1713,0.25,-0.2628,1156,256,0.17079,0.35938000000000003,0.76369,576,32,0.16817000000000001,0.28125,2.968,980,32,0.16372,0.4375,2.0486,1288,256,0.16227,0.48828,1.7913,0,1.9352,2.6904,3.2213,3.5072,3.5941,3.5394,3.3237,3.0035,2.6257,2.1417,1.6347,1.1824,0.78677,0.42031999999999997,0.16495,abnormal
64,0.55724,0.40625,1.6664,32,256,0.49796,0.44531000000000004,-2.3565,0,256,0.45658999999999994,0.41797,-0.26109,128,64,0.56519,0.48438000000000003,-1.3616,416,256,0.43736,0.48047,0.2701,160,32,0.41517,0.4375,-1.1667,84,32,0.39998,0.40625,0.7528199999999999,672,256,0.37928,0.48438000000000003,0.6561600000000001,896,256,0.37435999999999997,0.38281,2.2028,96,256,0.36423,0.41016,2.9897,32,128,0.36396,0.48438000000000003,1.9302,560,128,0.35802,0.39061999999999997,1.5226,368,64,0.35322,0.4375,-1.6382,328,64,0.45466999999999996,0.48438000000000003,-1.6114,120,32,0.32609,0.4375,2.4525,932,2.0758,2.9112,3.4173,3.6391,3.7164,3.6034,3.3838,3.065,2.6235,2.1492,1.6661,1.1743,0.73169,0.37944,0.12503,abnormal
32,0.8919799999999999,0.34375,2.7495,1564,128,0.84234,0.375,-2.4199,480,32,0.7923600000000001,0.40625,1.2675,624,128,0.76172,0.33594,2.7371,1360,32,0.75627,0.34375,-0.67235,116,256,0.75384,0.33594,2.9018,832,32,0.73429,0.375,-0.8722799999999999,1664,32,0.59811,0.46875,3.0036,1316,32,0.71315,0.4375,0.67068,1100,32,0.65141,0.375,-2.8117,1028,32,0.64744,0.40625,-0.19330999999999998,672,32,0.64235,0.4375,2.2069,1340,32,0.63986,0.40625,2.648,1484,128,0.62948,0.38281,2.6103,400,32,0.62535,0.34375,-0.11022,1316,2.8333,4.7654,5.9003,6.2559,6.2601,6.1046,5.6941,4.9873,4.1212,3.2529,2.4322,1.6564,0.93184,0.38611999999999996,0.073259,abnormal
32,0.22426,0.4375,2.478,952,32,0.28815,0.46875,1.2409,852,128,0.20594,0.41406000000000004,-0.46848,1424,32,0.20337,0.375,-0.42136999999999997,1228,32,0.19831,0.4375,-0.40157,1520,32,0.19826,0.4375,0.27318000000000003,1088,32,0.18864,0.40625,0.93471,768,32,0.18613,0.40625,-1.0555,388,32,0.20606,0.46875,2.0346,1300,32,0.1876,0.4375,1.0002,900,128,0.18275,0.4375,-1.5151,32,128,0.17757,0.4375,-3.1043,1552,32,0.21664,0.46875,1.8155,368,128,0.17540999999999998,0.46875,0.67296,1328,32,0.12326,0.5,0.0,412,1.7712,2.3098,2.6388,2.7960000000000003,2.8046,2.6983,2.4642,2.086,1.672,1.3047,0.92871,0.5976600000000001,0.33385,0.13080999999999998,0.01475,abnormal
128,0.23278000000000001,0.33594,0.8719399999999999,1200,256,0.19204000000000002,0.34375,-1.8101,512,32,0.18275999999999998,0.375,-1.8874,520,64,0.17274,0.34375,1.4869999999999999,1480,32,0.16464,0.4375,-2.2372,464,32,0.16030999999999998,0.40625,-3.0678,320,256,0.15883,0.34765999999999997,0.5333899999999999,1504,32,0.15716,0.375,-1.6431,1332,256,0.14906,0.34765999999999997,-0.95905,32,128,0.14555,0.33594,-2.2078,1376,32,0.14455,0.40625,-0.68357,256,128,0.14411,0.41406000000000004,2.7782,1680,256,0.14235,0.42578,-1.285,1120,32,0.14044,0.40625,-0.9973799999999999,1396,32,0.13674,0.4375,3.1368,708,2.1218,3.0027,3.3865,3.5172,3.5662,3.49,3.2525,2.9611,2.5968,2.1544,1.6628,1.1595,0.70052,0.34542,0.092763,abnormal
128,0.10173,0.40625,2.7943,1504,32,0.09945,0.4375,-1.1321,48,256,0.090361,0.43359,-0.8012600000000001,1088,256,0.087839,0.44141,-1.1916,256,128,0.086292,0.375,-0.8422,1168,64,0.085603,0.42188000000000003,-0.1136,736,256,0.11473,0.49609,1.5196,192,64,0.08480499999999999,0.32811999999999997,-2.8185,40,128,0.083357,0.40625,-2.3388,1392,256,0.082745,0.47656000000000004,-0.8124,1120,128,0.08066799999999999,0.39844,-2.9477,336,64,0.07456,0.48438000000000003,-2.6008,64,64,0.080417,0.46875,1.4644,616,32,0.077051,0.4375,-0.14729,1664,128,0.076894,0.46875,-0.15994,1376,1.9189,2.5643,3.0004,3.3033,3.3386,3.2072,2.9719,2.6325,2.2224,1.8537,1.496,1.1143,0.7734800000000001,0.45352,0.13472,abnormal
32,0.30604000000000003,0.40625,-2.6893,776,128,0.37404,0.49218999999999996,1.736,736,32,0.26773,0.4375,2.5765,1616,32,0.26847,0.375,1.7777,632,32,0.24378000000000002,0.34375,-1.8586,64,64,0.23945,0.42188000000000003,-1.7919,200,32,0.22904000000000002,0.4375,3.1243,804,32,0.21702,0.375,-1.6245,84,32,0.21183000000000002,0.34375,0.45006999999999997,480,32,0.20544,0.4375,2.6286,1736,32,0.20706,0.4375,-1.7214,760,128,0.20307,0.42188000000000003,-1.8263,384,128,0.19712000000000002,0.34375,2.4736,1392,128,0.19524,0.39061999999999997,-2.2755,976,128,0.19304000000000002,0.38281,-2.2948,688,2.1995,3.2110000000000003,3.8986,4.2426,4.3147,4.2003,3.9903,3.6195,3.1383,2.5585,1.9197,1.2798,0.77427,0.39102,0.13253,abnormal
64,1.1679,0.42188000000000003,2.1331,24,256,1.0683,0.44531000000000004,1.3597,192,64,0.98257,0.375,-0.43909,664,128,0.9336700000000001,0.36719,-0.7693300000000001,288,32,0.9109200000000001,0.4375,2.9953,232,64,1.1961,0.48438000000000003,1.3784,88,256,0.86146,0.48438000000000003,-3.1143,256,32,0.83785,0.40625,-2.5095,736,256,0.8332799999999999,0.38672,2.7961,512,128,0.83296,0.3125,-3.1195,64,256,0.77817,0.42968999999999996,-0.89545,448,256,0.7669699999999999,0.46875,1.7939,64,32,0.7260800000000001,0.46875,-2.5844,1460,128,0.74883,0.39061999999999997,-0.38063,80,256,0.7316699999999999,0.375,-2.5016,320,3.0504,5.4434,7.245,8.1968,8.6231,8.7148,8.3554,7.4882,6.2569,4.9205,3.657,2.4702,1.4187,0.61525,0.1586,abnormal
256,1.6406,0.40625,0.63013,448,32,1.4388,0.375,-0.56379,388,256,1.4343,0.33203,1.1962,1024,32,1.4161,0.375,2.1734,1272,256,1.4062,0.40234000000000003,-1.5157,640,32,1.4014,0.34375,-1.194,860,256,1.3688,0.39844,-0.87171,1248,32,1.3619999999999999,0.375,-0.20456,928,256,1.3526,0.38281,1.5249,960,64,1.3292,0.46875,-1.9848,408,256,1.2906,0.31640999999999997,0.6026199999999999,448,32,1.2448,0.3125,-1.9443,1340,256,1.1851,0.34765999999999997,0.38391,1536,32,1.1817,0.375,-1.65,960,256,1.1585,0.30859000000000003,1.0336,192,2.616,4.3307,5.3996,5.7447,5.6467,5.2846,4.7034,3.946,3.1942,2.5397,1.9559,1.3607,0.78305,0.34988,0.09652000000000001,abnormal
