MFCC1_S1,MFCC2_S1,MFCC3_S1,MFCC4_S1,MFCC5_S1,MFCC6_S1,MFCC7_S1,MFCC8_S1,MFCC9_S1,MFCC10_S1,MFCC11_S1,MFCC12_S1,MFCC13_S1,MFCC14_S1,MFCC1_S2,MFCC2_S2,MFCC3_S2,MFCC4_S2,MFCC5_S2,MFCC6_S2,MFCC7_S2,MFCC8_S2,MFCC9_S2,MFCC10_S2,MFCC11_S2,MFCC12_S2,MFCC13_S2,MFCC14_S2,MFCC1_Sys,MFCC2_Sys,MFCC3_Sys,MFCC4_Sys,MFCC5_Sys,MFCC6_Sys,MFCC7_Sys,MFCC8_Sys,MFCC9_Sys,MFCC10_Sys,MFCC11_Sys,MFCC12_Sys,MFCC13_Sys,MFCC14_Sys,MFCC1_Dias,MFCC2_Dias,MFCC3_Dias,MFCC4_Dias,MFCC5_Dias,MFCC6_Dias,MFCC7_Dias,MFCC8_Dias,MFCC9_Dias,MFCC10_Dias,MFCC11_Dias,MFCC12_Dias,MFCC13_Dias,MFCC14_Dias,atomLen1,atomAmp1,atomFreq1,atomPhase1,atomPos1,atomLen2,atomAmp2,atomFreq2,atomPhase2,atomPos2,atomLen3,atomAmp3,atomFreq3,atomPhase3,atomPos3,atomLen4,atomAmp4,atomFreq4,atomPhase4,atomPos4,atomLen5,atomAmp5,atomFreq5,atomPhase5,atomPos5,atomLen6,atomAmp6,atomFreq6,atomPhase6,atomPos6,atomLen7,atomAmp7,atomFreq7,atomPhase7,atomPos7,atomLen8,atomAmp8,atomFreq8,atomPhase8,atomPos8,atomLen9,atomAmp9,atomFreq9,atomPhase9,atomPos9,atomLen10,atomAmp10,atomFreq10,atomPhase10,atomPos10,atomLen11,atomAmp11,atomFreq11,atomPhase11,atomPos11,atomLen12,atomAmp12,atomFreq12,atomPhase12,atomPos12,atomLen13,atomAmp13,atomFreq13,atomPhase13,atomPos13,atomLen14,atomAmp14,atomFreq14,atomPhase14,atomPos14,atomLen15,atomAmp15,atomFreq15,atomPhase15,atomPos15,LPC_Coefficient2,LPC_Coefficient3,LPC_Coefficient4,LPC_Coefficient5,LPC_Coefficient6,LPC_Coefficient7,LPC_Coefficient8,LPC_Coefficient9,LPC_Coefficient10,LPC_Coefficient11,LPC_Coefficient12,LPC_Coefficient13,LPC_Coefficient14,LPC_Coefficient15,LPC_Coefficient16,Class
-1.1177,4.5704,1.9416,1.028,0.42985,0.14728,0.0054797,-0.12665,-0.10569,-0.081125,-0.0035088000000000003,-0.017081,-0.033197000000000004,0.0039952,-2.9357,5.37,2.4003,1.3137,0.56135,0.21474000000000001,0.045709,-0.15284,-0.093302,-0.092378,-0.042979,-0.0091053,-0.034136,-0.0083805,-4.2856,5.8907,2.5077,1.4719,0.53925,0.15552,0.034181,-0.16193,-0.088377,-0.097715,-0.033807,-0.020064,-0.045058999999999995,-0.0095902,-3.5968,5.5881,2.4433,1.3494,0.48878999999999995,0.13362000000000002,-0.0054988,-0.18779,-0.10209,-0.09249099999999999,-0.048668,-0.025188,-0.030195,0.0040704999999999995,182.4,2.1586,0.46491000000000005,0.32426,603.2,59.733000000000004,1.9668,0.42891,-0.20277,687.6,93.867,1.8452,0.43711000000000005,-0.6884899999999999,648.4,154.67,1.7519,0.44154,-0.12955,711.2,144.0,1.6969,0.42318,-0.42333000000000004,631.47,194.13,1.6626,0.41849,-0.10513,535.2,213.33,1.62,0.39382,-0.17001,685.47,133.33,1.5928,0.37188000000000004,-0.0094324,914.8,226.13,1.5651,0.40658,-0.095888,712.0,165.33,1.5014,0.36973,-0.7147,738.53,189.87,1.5052,0.36328,0.003348,491.6,262.4,1.4656,0.35117,0.3054,657.2,126.93,1.4579,0.35762,-0.24226999999999999,846.27,146.13,1.4687,0.38795999999999997,-0.28283,658.27,224.0,1.4244,0.37858,-0.55104,549.07,1.5377,1.9363,2.1846,2.1630000000000003,1.9574,1.6468,1.3062,0.9907299999999999,0.75316,0.56913,0.44738999999999995,0.31948000000000004,0.19072,0.099496,0.050356,abnormal
-8.4351,4.1847,1.6852,1.3213,0.38163,0.23304,0.0046058,-0.18139,-0.012883000000000002,-0.16877,-0.042832999999999996,0.014821,-0.06,0.011693,-10.109,4.8681,1.9333,1.8579,0.46518999999999994,0.37505,0.073387,-0.2459,0.004250199999999999,-0.23290999999999998,-0.090963,-0.0070259,-0.059472000000000004,0.035710000000000006,-10.987,5.1601,1.9925,2.056,0.48886,0.42801000000000006,0.046775,-0.29930999999999996,0.054443,-0.23437,-0.054417999999999994,-0.010334999999999999,-0.083623,0.044754,-10.467,4.9801,1.913,1.8747,0.49445,0.36655,0.0088887,-0.28247,0.039839,-0.22965,-0.058705999999999994,0.009256799999999999,-0.091951,0.036137999999999997,158.12,2.4113,0.40288,0.13165,447.69,180.71,2.0089,0.39568000000000003,-1.0024,675.76,179.45,1.9466,0.39798,-1.1017,840.0,242.2,1.8892,0.39621999999999996,-0.19693,659.29,236.55,1.8087,0.39959,-1.0987,498.04,181.96,1.7121,0.39691,-0.44348000000000004,541.96,180.71,1.626,0.39905,-1.1905,542.2,217.73,1.5743,0.41103999999999996,-1.153,672.78,178.2,1.5303,0.40552,-0.88859,601.18,171.92,1.4966,0.41085,-0.3611,565.41,195.14,1.4507,0.39805,-0.32522,434.82,111.06,1.4254,0.39147,-0.22696999999999998,502.2,219.61,1.4199,0.40487,-1.1295,457.33,213.33,1.3851,0.39621999999999996,-0.75983,473.57,195.14,1.3404,0.41234,-0.43098000000000003,452.0,1.3561,1.3429,1.2455,1.1579,0.9617,0.8247200000000001,0.7560100000000001,0.64728,0.5865,0.5348,0.41616000000000003,0.28664,0.14219,0.044291000000000004,0.0050479999999999995,abnormal
-6.9589,4.1315,1.3089,1.3949,0.15631,0.19297,0.085523,-0.17538,0.061219,-0.1573,-0.059913,-0.0092384,-0.043329,-0.0049353999999999995,-8.4808,4.7906,1.4923,1.8947,0.18388,0.34158,0.086667,-0.29229,0.097053,-0.19479000000000002,-0.035746,-0.0036843,-0.06211900000000001,0.00044995,-8.7966,5.2187,1.4557,2.0197,0.15124,0.38921,0.15048,-0.2701,0.15079,-0.18712,-0.07484500000000001,-0.038135,-0.061809,0.014971,-8.7756,4.9679,1.3709,1.9283,0.14983,0.34486999999999995,0.072438,-0.30698000000000003,0.1198,-0.18457,-0.036469999999999995,-0.0052223999999999994,-0.040479,0.007860800000000001,106.67,1.0686,0.31993,-1.0844,529.88,77.176,0.95125,0.28784,0.73059,788.0,208.31,0.90817,0.31346,-0.063136,615.06,175.69,0.8855,0.28918,-0.1409,590.82,208.31,0.85016,0.32426,0.35331,523.22,158.12,0.81695,0.28359,-0.39916,632.39,189.49,0.80886,0.33689,-0.3375,610.43,218.98,0.79003,0.32571,0.11748,564.94,204.55,0.7662899999999999,0.32035,-0.038945999999999995,605.02,217.73,0.75554,0.32579,0.070314,497.96,218.98,0.7354,0.31759,-0.1223,572.63,168.78,0.7225,0.32552,-0.41863999999999996,709.57,190.12,0.71229,0.32004,-0.12128,634.51,136.78,0.7004600000000001,0.3153,0.11925,744.55,171.29,0.69627,0.31522,-0.62042,687.69,0.99736,0.8741200000000001,0.7118899999999999,0.6460899999999999,0.56496,0.5017699999999999,0.42993000000000003,0.38023,0.29985,0.23724,0.1741,0.16169,0.1534,0.10930999999999999,0.033749,abnormal
-6.4364,4.361000000000001,1.6496,1.1272,0.3124,0.12712,0.031901,-0.11893,0.0014524000000000002,-0.051248,-0.016483,-0.019425,-0.044955,-0.0011569,-8.0024,5.242999999999999,2.1636,1.5403,0.44233999999999996,0.21045,0.063328,-0.1269,0.027926,-0.084616,-0.042969,-0.028379,-0.038232,0.0079851,-8.7509,5.5656,2.0279,1.6174,0.37604,0.25506999999999996,0.093265,-0.15307,0.058732000000000006,-0.12492,-0.052677999999999996,-0.027476,-0.064121,-0.012495000000000001,-8.7771,5.2847,2.0427,1.5486,0.34653,0.22283000000000003,0.041022,-0.16302,0.056088,-0.11073,-0.038866000000000005,-0.014919,-0.035058,0.0063418,82.196,1.4680000000000002,0.3912,0.45468000000000003,151.29,154.35,1.3028,0.38916999999999996,0.27978000000000003,149.88,130.51,1.2196,0.39618000000000003,0.3378,248.0,94.118,1.2049,0.38718,-0.039092,264.24,180.08,1.1353,0.35106,0.089533,137.18,124.86,1.0951,0.37263,0.55957,153.65,110.43,1.0349,0.38404,0.05296699999999999,177.02,108.55,1.0136,0.38994,0.25593,204.86,87.21600000000001,0.9941700000000001,0.38898,0.046265,273.88,156.86,0.9797600000000001,0.39576,0.12693,247.92,117.96,0.95311,0.34746,-0.6401,293.96,112.31,0.94481,0.37025,-0.042214999999999996,278.12,104.16,0.9142100000000001,0.33161,0.2604,293.25,105.41,0.8997700000000001,0.36217,0.45771999999999996,347.84,168.16,0.87739,0.3516,0.47818,310.51,1.19,1.1235,0.97004,0.8460799999999999,0.73969,0.62702,0.53659,0.46841000000000005,0.41722,0.40396,0.32550999999999997,0.24602,0.1643,0.11200999999999998,0.059539,abnormal
-2.1794,4.6507,1.5279,1.051,0.14213,0.049477,-0.0066197,-0.17297,-0.0067171999999999996,-0.07781,-0.014804,-0.014697,-0.038564999999999995,0.008408200000000001,-3.5029,5.3392,1.6065,1.4287,0.13409000000000001,0.12497,0.13712,-0.18289,-0.017619,-0.09210399999999999,0.03767,-0.019377000000000002,-0.033612,0.006642399999999999,-4.3966,5.7153,1.6988,1.5903,0.087355,0.066563,0.10176,-0.23567,-0.0066633,-0.093783,0.022921,0.0021323,-0.031425,-0.014494,-4.0966,5.4692,1.5085,1.4028,0.046676999999999996,0.15037999999999999,0.11629,-0.2205,0.042182,-0.11444000000000001,-0.027801,-0.019122,-0.029516000000000004,-0.0035918,249.6,1.6307,0.45111,-0.48206000000000004,690.53,169.6,1.5137,0.41471,0.34533,947.73,133.33,1.4226,0.43717,0.7347899999999999,958.67,205.87,1.4426,0.45098,-0.26205,679.07,188.8,1.3677,0.43568,0.19047999999999998,619.6,199.47,1.2421,0.44218999999999997,-0.74844,529.33,187.73,1.2086,0.40443,-0.045443,531.6,141.87,1.204,0.41608,-0.73154,587.73,155.73,1.2027,0.40703,-0.26032,580.93,176.0,1.1581,0.40565999999999997,0.1396,482.4,145.07,1.1708,0.44043000000000004,-0.21716,501.73,119.47,1.1106,0.43112,-0.10902,691.07,163.2,1.1135,0.40371,-0.43971000000000005,653.47,153.6,1.0971,0.38359,-0.5244,788.13,274.13,1.0877,0.42141999999999996,0.11845,460.8,1.4667,1.7912,1.9847,2.0062,1.8942,1.6982,1.4359,1.1502,0.88764,0.66856,0.51676,0.37351,0.23838,0.13609000000000002,0.049492,abnormal
-4.3843,4.3084,1.2191,1.3513,0.29175,0.17506,0.042291,-0.26648,-0.022921,-0.12539,-0.049569,-0.018935,-0.05062,0.020808,-5.7611,5.0581,1.2465,1.8135,0.35286999999999996,0.31581,0.1118,-0.33289,-0.013218,-0.22780999999999998,-0.057536000000000004,-0.043688,-0.082734,0.053529999999999994,-6.3367,5.3001,1.1674,1.9709999999999999,0.31271,0.34281999999999996,0.12695,-0.36803,0.058847000000000003,-0.25056999999999996,-0.081973,-0.013802000000000002,-0.08607100000000001,0.043664,-6.027,5.1146,1.0634,1.8324,0.28151,0.31906,0.10883,-0.33653,0.029354,-0.25165,-0.053407,-0.017397,-0.085272,0.063016,89.725,1.166,0.41023000000000004,0.16546,377.18,205.8,1.1658,0.43608,-1.1849,726.43,77.176,1.0529,0.42793000000000003,-0.42622,546.9,87.21600000000001,0.98836,0.39871,0.50379,666.2,104.16,0.95852,0.37538,0.78309,632.78,139.92,0.9279200000000001,0.41008,0.7023,696.55,97.255,0.9043200000000001,0.38634,0.94991,645.88,175.69,0.9145399999999999,0.41046000000000005,0.45205,635.29,180.08,0.8908200000000001,0.4128,0.67832,573.18,143.06,0.8792200000000001,0.37328,0.60539,651.29,155.61,0.87375,0.39177,0.42126,731.29,70.902,0.8579700000000001,0.37446,0.043751,655.22,180.08,0.83935,0.36263,-0.18109,664.78,146.82,0.8358,0.36198,-0.14353,621.33,165.02,0.79914,0.35493,0.50873,679.14,1.015,0.9197299999999999,0.78283,0.6795100000000001,0.58338,0.5015,0.43905,0.39601,0.32506,0.25953000000000004,0.21506999999999998,0.1323,0.096412,0.07507,0.026383999999999998,abnormal
-5.3649,4.0033,0.57798,1.3637,-0.73209,0.14107,0.036619,-0.31146,-0.0060086,-0.16947,0.069228,-0.065288,0.018963,0.028939999999999997,-5.6705,4.7561,0.34739000000000003,1.7930000000000001,-1.1468,0.13066,-0.058023000000000005,-0.33239,0.099786,-0.28531,0.1132,-0.08490299999999999,0.021636000000000002,0.0024307,-6.234,4.9948,0.31594,2.0211,-1.2111,0.26696,-0.06325499999999999,-0.38754,0.10515999999999999,-0.23679,0.16385,-0.096226,0.048694,-0.016392,-6.1325,4.7276,0.24979,1.8945,-1.1673,0.24106,-0.035732,-0.33516999999999997,0.087838,-0.27793,0.14514000000000002,-0.086645,0.045674,-0.0049531,190.93,1.0602,0.30755,-0.20352,718.67,148.27,0.9909600000000001,0.28197,-0.10067000000000001,748.13,213.33,0.9631799999999999,0.27773000000000003,0.069899,714.0,154.67,0.9532700000000001,0.28952,0.18613,860.67,199.47,0.9347200000000001,0.29147,0.14101,612.8,142.93,0.9180299999999999,0.30182,0.15897,629.87,139.73,0.90884,0.31693000000000005,0.12499,764.67,148.27,0.89007,0.29811,0.10459,696.27,148.27,0.87708,0.30013,0.11975,652.13,157.87,0.8621200000000001,0.29043,0.067626,642.13,156.8,0.8608600000000001,0.2748,0.29475,878.8,181.33,0.84698,0.28815,0.16492,745.07,203.73,0.83815,0.28848,0.36995,701.33,170.67,0.8270299999999999,0.29447,-0.083678,789.87,119.47,0.81525,0.34505,0.51232,692.13,1.2517,1.4096,1.4265,1.2682,1.0558,0.86506,0.68375,0.5702,0.5017,0.43178999999999995,0.37945999999999996,0.3085,0.2233,0.14447000000000002,0.05134,abnormal
-9.3792,3.9354,0.42846999999999996,1.6262,0.008794,0.37087,0.30241,-0.34886,-0.066342,-0.04343,-0.074923,-0.059262999999999996,0.026101999999999997,-0.0085191,-10.22,4.5278,0.23201999999999998,2.1009,-0.10784,0.55304,0.42228999999999994,-0.50693,-0.045452,-0.025521000000000002,-0.07911900000000001,-0.11705,0.039937,-0.010902,-10.315999999999999,4.8181,0.1851,2.3277,-0.12088,0.5899300000000001,0.50355,-0.56101,-0.064845,-0.06916,-0.095471,-0.10525,0.039604,-0.012758,-10.124,4.6392,0.17355,2.1303,-0.13940999999999998,0.49609,0.42698,-0.50315,-0.02271,-0.044788,-0.094776,-0.098798,0.035470999999999996,-0.0018541,44.549,0.9275,0.32131,0.28497,254.04,75.922,0.8486600000000001,0.35918,-0.15474000000000002,501.57,128.0,0.7995,0.3508,-0.062943,556.16,131.14,0.76656,0.35646,0.16912,421.49,116.71,0.7438600000000001,0.34658,-0.36085,406.35,121.1,0.72737,0.34171999999999997,-0.13799,453.88,197.02,0.70655,0.35126,0.14632,523.69,142.43,0.69252,0.33318000000000003,0.30378,557.41,193.88,0.68165,0.36811,0.11387,518.43,171.92,0.67252,0.34199,-0.22300999999999999,397.1,203.29,0.65754,0.35279,-0.75776,399.29,187.61,0.64975,0.37435,-0.26715,370.75,175.69,0.6441100000000001,0.35769,-0.18448,429.41,138.67,0.64961,0.36079,0.34633,412.94,160.0,0.63157,0.33295,-0.74429,461.18,1.053,1.0132,0.87689,0.75563,0.66022,0.56072,0.48293,0.41158999999999996,0.36776,0.32186,0.25973,0.16355,0.06605,-0.012637,-0.02062,abnormal
-8.5169,4.0729,1.0398,1.1964,0.11037999999999999,0.08588,0.07035599999999999,-0.16716,0.017567,-0.08947999999999999,-0.021921,0.0033056999999999995,-0.030664999999999998,-0.00021898,-9.8463,5.0811,1.6266,1.7136,0.26008000000000003,0.22834000000000002,0.11875,-0.16183,0.063775,-0.14601,-0.04854,-0.033652999999999995,-0.061086,0.008701500000000001,-11.2,5.2826,1.3637,1.8524,0.18767,0.21841,0.089334,-0.22757,0.10905999999999999,-0.13166,-0.052289999999999996,-0.046491000000000005,-0.051316999999999995,0.0075283,-10.774000000000001,5.0691,1.3219999999999998,1.6995,0.10922,0.23471,0.12542999999999999,-0.20867,0.076179,-0.15325,-0.033248,-0.019395,-0.062389,0.0020105,220.31,0.9544100000000001,0.38585,1.159,444.23,247.38,0.89975,0.42732,-0.81835,524.15,273.23,0.86864,0.42258999999999997,-0.77815,607.23,209.85,0.82294,0.3581,0.15484,506.92,214.77,0.79465,0.41185,0.19525,551.15,191.38,0.7638699999999999,0.39663000000000004,0.97335,567.31,264.62,0.75744,0.37921,0.6111,508.38,177.85,0.7489899999999999,0.34465,0.3968,412.23,208.62,0.74457,0.36691999999999997,0.37311,433.92,160.62,0.72714,0.33624,0.3182,355.46,142.15,0.71628,0.3507,-0.15600999999999998,380.85,115.69,0.70562,0.3362,0.30115,355.85,187.08,0.69909,0.34995,-0.42348,429.46,182.77,0.68318,0.34171999999999997,0.12094,357.92,177.85,0.6843600000000001,0.37271,-0.24064000000000002,462.62,1.1248,1.0169,0.93004,0.8051,0.66259,0.51942,0.46035,0.37613,0.30623,0.31082,0.29649000000000003,0.22189,0.19029000000000001,0.12506,0.066848,abnormal
-1.7473,4.263999999999999,1.3577,1.3326,0.43385,0.20504,0.097978,-0.19601,-0.05815599999999999,-0.1249,-0.08397,-0.021032,-0.032731,-0.006968000000000001,-2.9809,4.9704,1.2858,1.8079,0.50776,0.26356,0.22003000000000003,-0.26383,-0.12524000000000002,-0.19514,-0.091213,-0.020106,-0.021131,0.0023672,-3.9311,5.2751,1.187,1.925,0.5518,0.32443,0.23668000000000003,-0.27686,-0.070127,-0.19269,-0.08263200000000001,-0.0095995,-0.034133,-0.0075536,-3.4182,5.1305,1.2538,1.7965,0.48751000000000005,0.27448,0.23206,-0.26592,-0.10037,-0.18183,-0.094329,-0.021535,-0.021669,0.010693000000000001,129.1,2.0798,0.45056999999999997,0.5797399999999999,297.79,100.41,1.9955,0.43198000000000003,-1.21,125.24,114.76,1.8408,0.43656000000000006,-0.9059200000000001,253.52,109.24,1.6983,0.41836999999999996,-0.19155,291.31,155.59,1.6765,0.41358999999999996,0.41439,259.31,135.72,1.6092,0.44611999999999996,0.39268000000000003,241.66,139.03,1.5119999999999998,0.42376,-0.33462,233.66,107.03,1.4985,0.4373,-0.17635,347.59,125.79,1.4154,0.41358999999999996,-0.11200999999999998,237.52,134.62,1.3753,0.41083000000000003,-0.017503,185.52,65.10300000000001,1.3131,0.41676,0.10243,201.52,179.86,1.2589,0.38099,0.9303299999999999,226.07,114.76,1.228,0.42982,0.21481999999999998,181.93,176.55,1.2377,0.41501000000000005,-0.10627,247.17,99.31,1.2009999999999998,0.38308000000000003,0.43578999999999996,336.69,1.5007,1.82,1.954,1.9880000000000002,1.8172,1.494,1.2115,1.0281,0.8944200000000001,0.7694300000000001,0.63,0.46771,0.28833000000000003,0.12524000000000002,0.031763,abnormal
