MFCC1_S1,MFCC2_S1,MFCC3_S1,MFCC4_S1,MFCC5_S1,MFCC6_S1,MFCC7_S1,MFCC8_S1,MFCC9_S1,MFCC10_S1,MFCC11_S1,MFCC12_S1,MFCC13_S1,MFCC14_S1,MFCC1_S2,MFCC2_S2,MFCC3_S2,MFCC4_S2,MFCC5_S2,MFCC6_S2,MFCC7_S2,MFCC8_S2,MFCC9_S2,MFCC10_S2,MFCC11_S2,MFCC12_S2,MFCC13_S2,MFCC14_S2,MFCC1_Sys,MFCC2_Sys,MFCC3_Sys,MFCC4_Sys,MFCC5_Sys,MFCC6_Sys,MFCC7_Sys,MFCC8_Sys,MFCC9_Sys,MFCC10_Sys,MFCC11_Sys,MFCC12_Sys,MFCC13_Sys,MFCC14_Sys,MFCC1_Dias,MFCC2_Dias,MFCC3_Dias,MFCC4_Dias,MFCC5_Dias,MFCC6_Dias,MFCC7_Dias,MFCC8_Dias,MFCC9_Dias,MFCC10_Dias,MFCC11_Dias,MFCC12_Dias,MFCC13_Dias,MFCC14_Dias,Class
-1.1177,4.5704,1.9416,1.028,0.42985,0.14728,0.0054797,-0.12665,-0.10569,-0.081125,-0.0035088000000000003,-0.017081,-0.033197000000000004,0.0039952,-2.9357,5.37,2.4003,1.3137,0.56135,0.21474000000000001,0.045709,-0.15284,-0.093302,-0.092378,-0.042979,-0.0091053,-0.034136,-0.0083805,-4.2856,5.8907,2.5077,1.4719,0.53925,0.15552,0.034181,-0.16193,-0.088377,-0.097715,-0.033807,-0.020064,-0.045058999999999995,-0.0095902,-3.5968,5.5881,2.4433,1.3494,0.48878999999999995,0.13362000000000002,-0.0054988,-0.18779,-0.10209,-0.09249099999999999,-0.048668,-0.025188,-0.030195,0.0040704999999999995,abnormal
-8.4351,4.1847,1.6852,1.3213,0.38163,0.23304,0.0046058,-0.18139,-0.012883000000000002,-0.16877,-0.042832999999999996,0.014821,-0.06,0.011693,-10.109,4.8681,1.9333,1.8579,0.46518999999999994,0.37505,0.073387,-0.2459,0.004250199999999999,-0.23290999999999998,-0.090963,-0.0070259,-0.059472000000000004,0.035710000000000006,-10.987,5.1601,1.9925,2.056,0.48886,0.42801000000000006,0.046775,-0.29930999999999996,0.054443,-0.23437,-0.054417999999999994,-0.010334999999999999,-0.083623,0.044754,-10.467,4.9801,1.913,1.8747,0.49445,0.36655,0.0088887,-0.28247,0.039839,-0.22965,-0.058705999999999994,0.009256799999999999,-0.091951,0.036137999999999997,abnormal
-6.9589,4.1315,1.3089,1.3949,0.15631,0.19297,0.085523,-0.17538,0.061219,-0.1573,-0.059913,-0.0092384,-0.043329,-0.0049353999999999995,-8.4808,4.7906,1.4923,1.8947,0.18388,0.34158,0.086667,-0.29229,0.097053,-0.19479000000000002,-0.035746,-0.0036843,-0.06211900000000001,0.00044995,-8.7966,5.2187,1.4557,2.0197,0.15124,0.38921,0.15048,-0.2701,0.15079,-0.18712,-0.07484500000000001,-0.038135,-0.061809,0.014971,-8.7756,4.9679,1.3709,1.9283,0.14983,0.34486999999999995,0.072438,-0.30698000000000003,0.1198,-0.18457,-0.036469999999999995,-0.0052223999999999994,-0.040479,0.007860800000000001,abnormal
-6.4364,4.361000000000001,1.6496,1.1272,0.3124,0.12712,0.031901,-0.11893,0.0014524000000000002,-0.051248,-0.016483,-0.019425,-0.044955,-0.0011569,-8.0024,5.242999999999999,2.1636,1.5403,0.44233999999999996,0.21045,0.063328,-0.1269,0.027926,-0.084616,-0.042969,-0.028379,-0.038232,0.0079851,-8.7509,5.5656,2.0279,1.6174,0.37604,0.25506999999999996,0.093265,-0.15307,0.058732000000000006,-0.12492,-0.052677999999999996,-0.027476,-0.064121,-0.012495000000000001,-8.7771,5.2847,2.0427,1.5486,0.34653,0.22283000000000003,0.041022,-0.16302,0.056088,-0.11073,-0.038866000000000005,-0.014919,-0.035058,0.0063418,abnormal
-2.1794,4.6507,1.5279,1.051,0.14213,0.049477,-0.0066197,-0.17297,-0.0067171999999999996,-0.07781,-0.014804,-0.014697,-0.038564999999999995,0.008408200000000001,-3.5029,5.3392,1.6065,1.4287,0.13409000000000001,0.12497,0.13712,-0.18289,-0.017619,-0.09210399999999999,0.03767,-0.019377000000000002,-0.033612,0.006642399999999999,-4.3966,5.7153,1.6988,1.5903,0.087355,0.066563,0.10176,-0.23567,-0.0066633,-0.093783,0.022921,0.0021323,-0.031425,-0.014494,-4.0966,5.4692,1.5085,1.4028,0.046676999999999996,0.15037999999999999,0.11629,-0.2205,0.042182,-0.11444000000000001,-0.027801,-0.019122,-0.029516000000000004,-0.0035918,abnormal
-4.3843,4.3084,1.2191,1.3513,0.29175,0.17506,0.042291,-0.26648,-0.022921,-0.12539,-0.049569,-0.018935,-0.05062,0.020808,-5.7611,5.0581,1.2465,1.8135,0.35286999999999996,0.31581,0.1118,-0.33289,-0.013218,-0.22780999999999998,-0.057536000000000004,-0.043688,-0.082734,0.053529999999999994,-6.3367,5.3001,1.1674,1.9709999999999999,0.31271,0.34281999999999996,0.12695,-0.36803,0.058847000000000003,-0.25056999999999996,-0.081973,-0.013802000000000002,-0.08607100000000001,0.043664,-6.027,5.1146,1.0634,1.8324,0.28151,0.31906,0.10883,-0.33653,0.029354,-0.25165,-0.053407,-0.017397,-0.085272,0.063016,abnormal
-5.3649,4.0033,0.57798,1.3637,-0.73209,0.14107,0.036619,-0.31146,-0.0060086,-0.16947,0.069228,-0.065288,0.018963,0.028939999999999997,-5.6705,4.7561,0.34739000000000003,1.7930000000000001,-1.1468,0.13066,-0.058023000000000005,-0.33239,0.099786,-0.28531,0.1132,-0.08490299999999999,0.021636000000000002,0.0024307,-6.234,4.9948,0.31594,2.0211,-1.2111,0.26696,-0.06325499999999999,-0.38754,0.10515999999999999,-0.23679,0.16385,-0.096226,0.048694,-0.016392,-6.1325,4.7276,0.24979,1.8945,-1.1673,0.24106,-0.035732,-0.33516999999999997,0.087838,-0.27793,0.14514000000000002,-0.086645,0.045674,-0.0049531,abnormal
-9.3792,3.9354,0.42846999999999996,1.6262,0.008794,0.37087,0.30241,-0.34886,-0.066342,-0.04343,-0.074923,-0.059262999999999996,0.026101999999999997,-0.0085191,-10.22,4.5278,0.23201999999999998,2.1009,-0.10784,0.55304,0.42228999999999994,-0.50693,-0.045452,-0.025521000000000002,-0.07911900000000001,-0.11705,0.039937,-0.010902,-10.315999999999999,4.8181,0.1851,2.3277,-0.12088,0.5899300000000001,0.50355,-0.56101,-0.064845,-0.06916,-0.095471,-0.10525,0.039604,-0.012758,-10.124,4.6392,0.17355,2.1303,-0.13940999999999998,0.49609,0.42698,-0.50315,-0.02271,-0.044788,-0.094776,-0.098798,0.035470999999999996,-0.0018541,abnormal
-8.5169,4.0729,1.0398,1.1964,0.11037999999999999,0.08588,0.07035599999999999,-0.16716,0.017567,-0.08947999999999999,-0.021921,0.0033056999999999995,-0.030664999999999998,-0.00021898,-9.8463,5.0811,1.6266,1.7136,0.26008000000000003,0.22834000000000002,0.11875,-0.16183,0.063775,-0.14601,-0.04854,-0.033652999999999995,-0.061086,0.008701500000000001,-11.2,5.2826,1.3637,1.8524,0.18767,0.21841,0.089334,-0.22757,0.10905999999999999,-0.13166,-0.052289999999999996,-0.046491000000000005,-0.051316999999999995,0.0075283,-10.774000000000001,5.0691,1.3219999999999998,1.6995,0.10922,0.23471,0.12542999999999999,-0.20867,0.076179,-0.15325,-0.033248,-0.019395,-0.062389,0.0020105,abnormal
-1.7473,4.263999999999999,1.3577,1.3326,0.43385,0.20504,0.097978,-0.19601,-0.05815599999999999,-0.1249,-0.08397,-0.021032,-0.032731,-0.006968000000000001,-2.9809,4.9704,1.2858,1.8079,0.50776,0.26356,0.22003000000000003,-0.26383,-0.12524000000000002,-0.19514,-0.091213,-0.020106,-0.021131,0.0023672,-3.9311,5.2751,1.187,1.925,0.5518,0.32443,0.23668000000000003,-0.27686,-0.070127,-0.19269,-0.08263200000000001,-0.0095995,-0.034133,-0.0075536,-3.4182,5.1305,1.2538,1.7965,0.48751000000000005,0.27448,0.23206,-0.26592,-0.10037,-0.18183,-0.094329,-0.021535,-0.021669,0.010693000000000001,abnormal
5.8794,4.4929,-0.041664,0.9231799999999999,-0.0048736000000000005,-0.0027454999999999997,0.13279000000000002,-0.14756,-0.032264999999999995,-0.12109,0.024968,-0.014249000000000001,-0.043983999999999995,0.00041646,5.0045,5.4215,-0.13657,1.416,0.090336,0.031161,0.24394000000000002,-0.10192999999999999,0.032889999999999996,-0.21336,-0.006505599999999999,-0.024498,-0.061471000000000005,0.021053,4.5639,5.734,-0.50029,1.4976,-0.032279,0.004227600000000001,0.29163,-0.13485,0.09263500000000001,-0.20856999999999998,0.0039288000000000005,-0.0062527,-0.079073,0.011776,4.9657,5.414,-0.36824,1.3311,0.021955000000000002,-0.013304,0.25069,-0.093203,0.10055,-0.18745,0.008106499999999999,0.016738999999999997,-0.074201,0.0040444,abnormal
3.9881,4.5047,0.024437,0.71143,0.057088,0.13652,0.1656,-0.082122,0.11492000000000001,-0.12830999999999998,-0.049393,-0.0052247,-0.055082000000000006,-0.0031937,2.7968,5.5714,-0.17899,0.9264600000000001,0.13065,0.13274,0.25861,-0.016281999999999998,0.12370999999999999,-0.17210999999999999,-0.015881,-0.0048496,-0.10082999999999999,0.01067,2.4679,5.86,-0.49751999999999996,1.1043,0.053928,0.1381,0.27985,-0.046025,0.19458,-0.18803,0.012832,-0.0043786,-0.11746,0.01085,2.6236,5.6114,-0.41600000000000004,1.0212,-0.017282,0.13165,0.27626,-0.03639,0.16502,-0.18607,0.021807,-0.017314,-0.093957,0.023726,abnormal
-6.0818,4.5481,2.0932,1.0751,0.43072,0.12902,0.0046133,-0.08657000000000001,-0.068506,-0.074576,-0.033281,-0.044337,-0.038363999999999995,0.007932,-6.6393,5.2493,2.5512,1.3507,0.5584600000000001,0.18795,0.065588,-0.11173,-0.11018,-0.089685,-0.06347699999999999,-0.044568,-0.021285,-0.008533,-8.8821,5.7811,2.6582,1.3761,0.53905,0.21519000000000002,0.083578,-0.083608,-0.07736799999999999,-0.11813,-0.088862,-0.063761,-0.031935000000000005,0.011505,-8.1406,5.5048,2.5778,1.3323,0.49072,0.19512000000000002,0.075781,-0.10166,-0.06941,-0.094218,-0.077323,-0.047728,-0.040575,-0.014981,abnormal
-7.0318,3.9844,0.99106,1.4531,0.36211,0.24405,0.18658,-0.1694,-0.0019711,-0.15306,-0.084517,-0.028312999999999998,-0.03213,0.025381,-8.7895,4.7369,0.77605,1.9086,0.44188,0.4094,0.2947,-0.24715,0.0054773,-0.17936,-0.083254,-0.050253,-0.030025,0.0056881,-8.9609,5.0188,0.6805,2.1306,0.41213999999999995,0.41476999999999997,0.32674000000000003,-0.21399,0.067839,-0.25082,-0.1061,-0.043913,-0.049434,0.032376999999999996,-8.7667,4.8722,0.65647,1.9989,0.39375,0.35636999999999996,0.27817,-0.25429,0.048938999999999996,-0.18172,-0.07874600000000001,-0.05137100000000001,-0.048215,0.013771,normal
