MFCC1_S1,MFCC2_S1,MFCC3_S1,MFCC4_S1,MFCC5_S1,MFCC6_S1,MFCC7_S1,MFCC8_S1,MFCC9_S1,MFCC10_S1,MFCC11_S1,MFCC12_S1,MFCC13_S1,MFCC14_S1,MFCC1_S2,MFCC2_S2,MFCC3_S2,MFCC4_S2,MFCC5_S2,MFCC6_S2,MFCC7_S2,MFCC8_S2,MFCC9_S2,MFCC10_S2,MFCC11_S2,MFCC12_S2,MFCC13_S2,MFCC14_S2,MFCC1_Sys,MFCC2_Sys,MFCC3_Sys,MFCC4_Sys,MFCC5_Sys,MFCC6_Sys,MFCC7_Sys,MFCC8_Sys,MFCC9_Sys,MFCC10_Sys,MFCC11_Sys,MFCC12_Sys,MFCC13_Sys,MFCC14_Sys,MFCC1_Dias,MFCC2_Dias,MFCC3_Dias,MFCC4_Dias,MFCC5_Dias,MFCC6_Dias,MFCC7_Dias,MFCC8_Dias,MFCC9_Dias,MFCC10_Dias,MFCC11_Dias,MFCC12_Dias,MFCC13_Dias,MFCC14_Dias,atomLen1,atomAmp1,atomFreq1,atomPhase1,atomPos1,atomLen2,atomAmp2,atomFreq2,atomPhase2,atomPos2,atomLen3,atomAmp3,atomFreq3,atomPhase3,atomPos3,atomLen4,atomAmp4,atomFreq4,atomPhase4,atomPos4,atomLen5,atomAmp5,atomFreq5,atomPhase5,atomPos5,atomLen6,atomAmp6,atomFreq6,atomPhase6,atomPos6,atomLen7,atomAmp7,atomFreq7,atomPhase7,atomPos7,atomLen8,atomAmp8,atomFreq8,atomPhase8,atomPos8,atomLen9,atomAmp9,atomFreq9,atomPhase9,atomPos9,atomLen10,atomAmp10,atomFreq10,atomPhase10,atomPos10,atomLen11,atomAmp11,atomFreq11,atomPhase11,atomPos11,atomLen12,atomAmp12,atomFreq12,atomPhase12,atomPos12,atomLen13,atomAmp13,atomFreq13,atomPhase13,atomPos13,atomLen14,atomAmp14,atomFreq14,atomPhase14,atomPos14,atomLen15,atomAmp15,atomFreq15,atomPhase15,atomPos15,Class
-7.3987,4.9964,2.2348,2.0889,0.61602,0.31592,0.18682,-0.1194,-0.016972,-0.15521,-0.034465,-0.028281,-0.067691,0.027152,-5.6082,5.5539,2.2691,1.7086,0.19291,-0.16118,-0.072039,-0.10177,0.088196,0.052445,0.097628,-0.020232,-0.09181,-0.034657,-11.148,4.9141,0.51431,2.2494,-0.13903,0.34176,0.19917,-0.069546,0.12171,-0.26263,0.056302,-0.080754,-0.083232,0.010123,-11.415,5.0254,0.64371,2.4473,0.0053861,0.33299,0.18773,-0.054748,0.11694,-0.25804,0.034579,-0.087877,-0.076742,-0.0031788,168.89,4.5618,0.015516,0.54028,512.44,190.22,3.5921,0.014865,-0.39878,193.78,192,2.1344,0.010634,-0.41956,143.78,272.89,1.7381,0.01161,-0.3492,358.56,189.33,1.4003,0.012424,-0.097583,401.56,198.22,1.2089,0.012804,-0.32293,415,241.78,1.0077,0.011773,0.0086411,419,256,0.88209,0.017687,0.068237,366,177.78,0.76068,0.015734,0.75095,329.67,281.78,0.67757,0.012424,0.31731,294.89,162.67,0.62908,0.015842,0.23839,358.44,224.89,0.54862,0.015951,-0.057584,337.78,168,0.51889,0.018555,-0.13482,509.22,217.78,0.46048,0.017958,0.48947,364.44,208,0.42572,0.026367,0.0078204,359.33,abnormal
0.39934,6.4361,-0.035604,0.18162,-0.42869,0.084944,0.38297,-0.024289,-0.025349,-0.30189,-0.052429,0.084915,0.043078,0.055947,-2.4805,5.8408,1.3278,0.89912,-0.11832,-0.04964,0.1429,-0.12906,0.039099,-0.020167,0.0089216,0.0015639,-0.026489,-0.015727,-0.16486,6.1933,-1.4118,-0.37926,-0.86096,0.30669,0.54066,-0.23555,-0.11645,-0.27947,0.031685,0.072232,0.018652,0.029027,-9.0874,5.8064,1.1561,1.8034,0.022267,0.041163,0.12035,-0.15658,0.20201,-0.071987,-0.034504,-0.035862,-0.052884,-0.015843,153.85,3.6757,0.014423,-0.25121,265.54,172.31,2.9765,0.010817,0.1857,170.15,169.85,2.2958,0.011493,-0.01319,221.23,204.31,1.5927,0.014348,0.090109,273.08,172.31,1.4426,0.017954,0.0090727,288.92,194.46,1.173,0.018329,-0.017897,260.92,237.54,1.0676,0.014799,0.21092,187.38,189.54,0.95222,0.015099,0.058437,320.62,146.46,0.89016,0.020358,0.32781,322.77,194.46,0.7861,0.015625,0.53889,238.92,158.77,0.67625,0.019606,0.39872,290.62,209.23,0.6213,0.016526,0.35647,335.54,150.15,0.56556,0.016526,0.033577,391.54,180.92,0.50934,0.020959,-0.15893,306.31,163.69,0.44053,0.020883,0.51977,328.46,abnormal
-10.254,5.583,3.1022,1.7556,0.6196,0.0047837,-0.1437,-0.19223,-0.068772,0.011072,0.034735,-0.0013991,-0.050516,-0.056481,-10.851,5.4023,2.5577,1.5961,0.49066,0.082468,0.080871,-0.16768,-0.13854,-0.11158,-0.07898,-0.023939,-0.018399,-0.0091699,-15.698,5.5578,2.4928,1.6803,0.59195,0.13629,0.046059,-0.16138,-0.07598,-0.12065,-0.056302,0.0081724,0.0060279,-0.0088417,-18.816,5.8877,2.0595,1.7641,0.44658,0.17405,0.10265,-0.24742,-0.07451,-0.14026,-0.045491,0.035839,0.01504,-0.013304,343.04,7.8473,0.010469,0.33259,392.96,184.32,7.152,0.010313,0.024698,76.16,153.6,3.3659,0.011875,-0.55576,44.32,235.52,2.8078,0.01375,-0.053478,346.88,243.2,2.3391,0.015,-0.04659,355.84,230.4,2.169,0.016172,0.14196,513.28,224,1.8536,0.017031,0.16298,480.64,218.88,1.5193,0.012188,0.19472,375.36,198.4,1.3113,0.014766,0.36895,345.12,240.64,1.2221,0.014531,0.4101,214.24,175.36,1.0757,0.019062,0.32098,221.12,199.68,0.95547,0.012734,-0.32957,397.76,253.44,0.92449,0.011641,-0.36725,358.72,190.72,0.77227,0.013437,0.47636,480.8,215.04,0.68335,0.014063,0.19955,346.4,abnormal
-4.3783,5.2538,3.0088,1.8339,0.8535,0.30575,0.071147,-0.072483,-0.075571,-0.097109,-0.038781,-0.040963,-0.041443,-0.035841,-3.8501,6.1326,2.1195,0.82175,-0.23815,-0.35068,-0.18363,-0.045076,0.19215,0.057939,0.042959,-0.024264,-0.054225,-0.012114,-11.111,6.047,1.4893,1.1937,0.0098506,0.085281,0.15035,-0.093004,0.061816,-0.093721,9.57E-05,-0.048153,-0.062157,-0.00083356,-12.182,6.1324,1.5843,1.3649,0.062019,0.17611,0.20926,-0.1111,0.068534,-0.12441,-0.035114,-0.039131,-0.081665,-0.0094043,237.71,7.0216,0.013616,-0.042299,1.8286,149.94,4.3248,0.014732,-0.22776,120.91,171.89,2.9936,0.014397,-0.14811,445.71,201.14,2.217,0.012723,-0.90719,206.17,227.66,1.7132,0.015681,-0.2806,293.83,239.54,1.409,0.012388,0.03323,302.06,187.43,1.2537,0.015625,-0.3793,287.09,192,1.0776,0.01317,0.23913,384,160,0.97484,0.019364,0.19276,340.91,209.37,0.87543,0.016853,-0.40461,264.57,196.57,0.81118,0.020089,0.075934,434.51,185.6,0.68535,0.018136,0.84659,417.14,192.91,0.64465,0.017188,0.27172,372.11,172.8,0.5697,0.019699,0.52666,410.74,205.71,0.53809,0.021819,-0.27959,273.6,abnormal
-5.1693,4.9891,3.1302,2.0212,1.0621,0.3569,0.048671,-0.13667,-0.19252,-0.17193,-0.073485,-0.028875,-0.015046,-0.016704,-7.8392,5.3314,2.6039,1.5921,0.7932,0.26909,0.092728,-0.1104,-0.14951,-0.15685,-0.14115,-0.082615,-0.018875,0.020391,-14.178,5.2134,1.9919,1.6754,0.64789,0.17717,0.15107,-0.097465,-0.04829,-0.088864,-0.08266,-0.059299,-0.030535,0.0068983,-14.562,5.5715,2.2129,1.8202,0.68416,0.17741,0.16835,-0.10888,-0.075291,-0.11422,-0.10018,-0.06262,-0.047326,0.00095219,177.23,6.2405,0.016602,-0.083447,5.2308,166.15,3.5909,0.014573,0.65187,100.15,133.54,2.7418,0.015024,-0.15028,240.31,144.62,2.1133,0.013672,0.22772,187.62,131.08,1.5067,0.018292,0.11501,126.92,145.85,1.2127,0.015437,0.27298,215.08,174.77,1.0203,0.016264,0.13439,167.54,175.38,0.87686,0.016339,-0.0023578,221.46,187.69,0.76378,0.01585,0.62737,260.92,157.54,0.64314,0.014761,0.83335,208.54,157.54,0.58442,0.020132,-0.17934,260.15,150.15,0.51687,0.01709,0.33213,262.54,143.38,0.47911,0.020733,0.37673,207.46,177.85,0.42898,0.022611,-0.086878,262.69,160,0.37173,0.020883,-0.10426,305.23,abnormal
-1.1177,4.5704,1.9416,1.028,0.42985,0.14728,0.0054797,-0.12665,-0.10569,-0.081125,-0.0035088,-0.017081,-0.033197,0.0039952,-2.9357,5.37,2.4003,1.3137,0.56135,0.21474,0.045709,-0.15284,-0.093302,-0.092378,-0.042979,-0.0091053,-0.034136,-0.0083805,-4.2856,5.8907,2.5077,1.4719,0.53925,0.15552,0.034181,-0.16193,-0.088377,-0.097715,-0.033807,-0.020064,-0.045059,-0.0095902,-3.5968,5.5881,2.4433,1.3494,0.48879,0.13362,-0.0054988,-0.18779,-0.10209,-0.092491,-0.048668,-0.025188,-0.030195,0.0040705,182.4,2.1586,0.46491,0.32426,603.2,59.733,1.9668,0.42891,-0.20277,687.6,93.867,1.8452,0.43711,-0.68849,648.4,154.67,1.7519,0.44154,-0.12955,711.2,144,1.6969,0.42318,-0.42333,631.47,194.13,1.6626,0.41849,-0.10513,535.2,213.33,1.62,0.39382,-0.17001,685.47,133.33,1.5928,0.37188,-0.0094324,914.8,226.13,1.5651,0.40658,-0.095888,712,165.33,1.5014,0.36973,-0.7147,738.53,189.87,1.5052,0.36328,0.003348,491.6,262.4,1.4656,0.35117,0.3054,657.2,126.93,1.4579,0.35762,-0.24227,846.27,146.13,1.4687,0.38796,-0.28283,658.27,224,1.4244,0.37858,-0.55104,549.07,abnormal
-4.7794,5.8407,2.8458,1.2183,0.26912,-0.1269,-0.12395,-0.087645,-0.01208,-0.0050372,-0.009177,-0.025265,-0.024028,-0.0081544,-6.4628,5.9727,2.3059,0.91511,0.26744,0.028804,0.021358,-0.049079,-0.00079987,-0.045105,-0.077753,-0.039731,-0.055333,-0.021863,-11.739,6.2066,2.1386,0.93231,0.18627,0.040202,0.12474,-0.023325,0.0065385,-0.065722,-0.065488,-0.039272,-0.036564,-0.012458,-12.895,6.4338,1.9521,0.98194,0.17372,0.013685,0.12113,-0.081061,-0.03298,-0.088718,-0.056481,-0.034053,-0.034888,0.004197,121.9,4.8877,0.014602,0.061411,33.333,219.43,3.0758,0.01223,-0.07348,286.86,186.67,2.3727,0.014276,-0.095881,305.9,189.71,1.7754,0.01516,0.67427,183.62,245.33,1.419,0.013625,0.43486,212.76,192,1.2564,0.017671,-0.010916,265.43,151.62,1.0823,0.019206,0.063722,270.19,215.62,0.91649,0.015765,0.20621,332.95,214.1,0.81033,0.016369,0.37687,281.62,151.62,0.71193,0.017578,0.33288,305.62,216.38,0.62514,0.013253,0.31142,331.33,171.43,0.58806,0.016834,0.71474,325.33,201.9,0.52443,0.019857,-0.059383,316.38,223.24,0.47512,0.014974,0.33245,359.43,170.67,0.4383,0.016927,0.22285,371.81,normal
-8.4351,4.1847,1.6852,1.3213,0.38163,0.23304,0.0046058,-0.18139,-0.012883,-0.16877,-0.042833,0.014821,-0.06,0.011693,-10.109,4.8681,1.9333,1.8579,0.46519,0.37505,0.073387,-0.2459,0.0042502,-0.23291,-0.090963,-0.0070259,-0.059472,0.03571,-10.987,5.1601,1.9925,2.056,0.48886,0.42801,0.046775,-0.29931,0.054443,-0.23437,-0.054418,-0.010335,-0.083623,0.044754,-10.467,4.9801,1.913,1.8747,0.49445,0.36655,0.0088887,-0.28247,0.039839,-0.22965,-0.058706,0.0092568,-0.091951,0.036138,158.12,2.4113,0.40288,0.13165,447.69,180.71,2.0089,0.39568,-1.0024,675.76,179.45,1.9466,0.39798,-1.1017,840,242.2,1.8892,0.39622,-0.19693,659.29,236.55,1.8087,0.39959,-1.0987,498.04,181.96,1.7121,0.39691,-0.44348,541.96,180.71,1.626,0.39905,-1.1905,542.2,217.73,1.5743,0.41104,-1.153,672.78,178.2,1.5303,0.40552,-0.88859,601.18,171.92,1.4966,0.41085,-0.3611,565.41,195.14,1.4507,0.39805,-0.32522,434.82,111.06,1.4254,0.39147,-0.22697,502.2,219.61,1.4199,0.40487,-1.1295,457.33,213.33,1.3851,0.39622,-0.75983,473.57,195.14,1.3404,0.41234,-0.43098,452,abnormal
-9.1361,5.1524,2.0805,1.9771,0.1812,0.22945,-0.11207,-0.4006,-0.031431,-0.30037,0.046088,0.058548,-0.047831,0.06306,-9.6998,5.2716,1.8884,1.8891,0.15391,0.31743,-0.022583,-0.36732,-0.0076411,-0.32086,0.043108,0.032762,-0.068371,0.071303,-11.483,5.0826,1.5952,2.1214,-0.065616,0.49203,-0.028024,-0.40741,0.074257,-0.38872,0.066544,0.011597,-0.0623,0.084028,-11.822,5.1687,1.6657,2.3184,-0.052618,0.45704,-0.051178,-0.42735,0.084724,-0.39879,0.074205,0.011903,-0.0655,0.084069,202.43,2.0723,0.014946,0.29002,151.65,205.22,1.6553,0.014861,-0.032862,270.96,208,1.3395,0.013884,0.66061,224.87,209.39,1.1251,0.015413,-0.20459,258.61,235.13,0.94125,0.01571,0.20187,319.48,248.35,0.8285,0.018725,-0.060212,304.87,228.17,0.75262,0.017154,-0.2172,277.65,197.57,0.68135,0.019828,0.32526,267.13,147.48,0.62934,0.017875,0.68622,353.39,158.61,0.55636,0.021315,-0.439,376.96,186.43,0.51226,0.018767,-0.080743,286.43,176,0.44402,0.019276,-0.036349,284,204.52,0.41683,0.021824,0.43842,328.35,192,0.38948,0.022079,0.20534,226.96,196.17,0.35013,0.021951,0.83991,366.61,normal
-7.5221,5.9003,1.5023,1.1722,-0.053317,-0.21364,-0.058762,-0.11643,0.10122,-0.014176,-0.020181,-0.026701,-0.034848,0.016489,-8.9511,5.8477,1.0943,1.0988,0.035075,0.0041733,0.15642,-0.039209,0.045079,-0.20012,-0.108,0.0010928,-0.011128,-0.0060925,-14.336,5.6639,0.34184,1.5162,-0.22608,0.022428,0.081913,-0.29732,0.06315,-0.15783,-0.024613,-0.041635,-0.042494,0.021954,-15.529,5.573,0.17828,1.8758,-0.22365,0.17723,0.18496,-0.28931,0.094007,-0.17433,0.010347,-0.062753,-0.038507,0.019386,135.27,3.871,0.016069,0.33833,151.27,107.64,3.0869,0.018022,-0.54568,435.64,154.91,2.3578,0.016824,0.26286,155.91,138.18,1.879,0.013627,0.52456,181.73,152,1.574,0.015225,-0.00048448,249.09,152.73,1.24,0.01638,0.67114,224.64,203.64,1.0809,0.0182,0.24968,316.55,204.36,0.90037,0.018422,0.36092,259.82,185.45,0.84486,0.022061,0.60342,289.18,194.18,0.7477,0.019043,-0.25124,291.45,157.09,0.65004,0.022994,-0.064315,276,140.36,0.57096,0.020508,-0.034851,326.64,202.18,0.52071,0.020241,0.50833,325.64,165.82,0.4695,0.025435,-0.15434,275.55,141.82,0.44079,0.021174,0.1209,331.36,abnormal
