MFCC1_S1,MFCC2_S1,MFCC3_S1,MFCC4_S1,MFCC5_S1,MFCC6_S1,MFCC7_S1,MFCC8_S1,MFCC9_S1,MFCC10_S1,MFCC11_S1,MFCC12_S1,MFCC13_S1,MFCC14_S1,MFCC1_S2,MFCC2_S2,MFCC3_S2,MFCC4_S2,MFCC5_S2,MFCC6_S2,MFCC7_S2,MFCC8_S2,MFCC9_S2,MFCC10_S2,MFCC11_S2,MFCC12_S2,MFCC13_S2,MFCC14_S2,MFCC1_Sys,MFCC2_Sys,MFCC3_Sys,MFCC4_Sys,MFCC5_Sys,MFCC6_Sys,MFCC7_Sys,MFCC8_Sys,MFCC9_Sys,MFCC10_Sys,MFCC11_Sys,MFCC12_Sys,MFCC13_Sys,MFCC14_Sys,MFCC1_Dias,MFCC2_Dias,MFCC3_Dias,MFCC4_Dias,MFCC5_Dias,MFCC6_Dias,MFCC7_Dias,MFCC8_Dias,MFCC9_Dias,MFCC10_Dias,MFCC11_Dias,MFCC12_Dias,MFCC13_Dias,MFCC14_Dias,Class
-7.3987,4.9964,2.2348,2.0889,0.61602,0.31592,0.18682,-0.1194,-0.016972,-0.15521,-0.034465,-0.028281,-0.067691,0.027152,-5.6082,5.5539,2.2691,1.7086,0.19291,-0.16118,-0.072039,-0.10177,0.088196,0.052445,0.097628,-0.020232,-0.09181,-0.034657,-11.148,4.9141,0.51431,2.2494,-0.13903,0.34176,0.19917,-0.069546,0.12171,-0.26263,0.056302,-0.080754,-0.083232,0.010123,-11.415,5.0254,0.64371,2.4473,0.0053861,0.33299,0.18773,-0.054748,0.11694,-0.25804,0.034579,-0.087877,-0.076742,-0.0031788,abnormal
0.39934,6.4361,-0.035604,0.18162,-0.42869,0.084944,0.38297,-0.024289,-0.025349,-0.30189,-0.052429,0.084915,0.043078,0.055947,-2.4805,5.8408,1.3278,0.89912,-0.11832,-0.04964,0.1429,-0.12906,0.039099,-0.020167,0.0089216,0.0015639,-0.026489,-0.015727,-0.16486,6.1933,-1.4118,-0.37926,-0.86096,0.30669,0.54066,-0.23555,-0.11645,-0.27947,0.031685,0.072232,0.018652,0.029027,-9.0874,5.8064,1.1561,1.8034,0.022267,0.041163,0.12035,-0.15658,0.20201,-0.071987,-0.034504,-0.035862,-0.052884,-0.015843,abnormal
-10.254,5.583,3.1022,1.7556,0.6196,0.0047837,-0.1437,-0.19223,-0.068772,0.011072,0.034735,-0.0013991,-0.050516,-0.056481,-10.851,5.4023,2.5577,1.5961,0.49066,0.082468,0.080871,-0.16768,-0.13854,-0.11158,-0.07898,-0.023939,-0.018399,-0.0091699,-15.698,5.5578,2.4928,1.6803,0.59195,0.13629,0.046059,-0.16138,-0.07598,-0.12065,-0.056302,0.0081724,0.0060279,-0.0088417,-18.816,5.8877,2.0595,1.7641,0.44658,0.17405,0.10265,-0.24742,-0.07451,-0.14026,-0.045491,0.035839,0.01504,-0.013304,abnormal
-4.3783,5.2538,3.0088,1.8339,0.8535,0.30575,0.071147,-0.072483,-0.075571,-0.097109,-0.038781,-0.040963,-0.041443,-0.035841,-3.8501,6.1326,2.1195,0.82175,-0.23815,-0.35068,-0.18363,-0.045076,0.19215,0.057939,0.042959,-0.024264,-0.054225,-0.012114,-11.111,6.047,1.4893,1.1937,0.0098506,0.085281,0.15035,-0.093004,0.061816,-0.093721,9.57E-05,-0.048153,-0.062157,-0.00083356,-12.182,6.1324,1.5843,1.3649,0.062019,0.17611,0.20926,-0.1111,0.068534,-0.12441,-0.035114,-0.039131,-0.081665,-0.0094043,abnormal
-5.1693,4.9891,3.1302,2.0212,1.0621,0.3569,0.048671,-0.13667,-0.19252,-0.17193,-0.073485,-0.028875,-0.015046,-0.016704,-7.8392,5.3314,2.6039,1.5921,0.7932,0.26909,0.092728,-0.1104,-0.14951,-0.15685,-0.14115,-0.082615,-0.018875,0.020391,-14.178,5.2134,1.9919,1.6754,0.64789,0.17717,0.15107,-0.097465,-0.04829,-0.088864,-0.08266,-0.059299,-0.030535,0.0068983,-14.562,5.5715,2.2129,1.8202,0.68416,0.17741,0.16835,-0.10888,-0.075291,-0.11422,-0.10018,-0.06262,-0.047326,0.00095219,abnormal
-1.1177,4.5704,1.9416,1.028,0.42985,0.14728,0.0054797,-0.12665,-0.10569,-0.081125,-0.0035088,-0.017081,-0.033197,0.0039952,-2.9357,5.37,2.4003,1.3137,0.56135,0.21474,0.045709,-0.15284,-0.093302,-0.092378,-0.042979,-0.0091053,-0.034136,-0.0083805,-4.2856,5.8907,2.5077,1.4719,0.53925,0.15552,0.034181,-0.16193,-0.088377,-0.097715,-0.033807,-0.020064,-0.045059,-0.0095902,-3.5968,5.5881,2.4433,1.3494,0.48879,0.13362,-0.0054988,-0.18779,-0.10209,-0.092491,-0.048668,-0.025188,-0.030195,0.0040705,abnormal
-4.7794,5.8407,2.8458,1.2183,0.26912,-0.1269,-0.12395,-0.087645,-0.01208,-0.0050372,-0.009177,-0.025265,-0.024028,-0.0081544,-6.4628,5.9727,2.3059,0.91511,0.26744,0.028804,0.021358,-0.049079,-0.00079987,-0.045105,-0.077753,-0.039731,-0.055333,-0.021863,-11.739,6.2066,2.1386,0.93231,0.18627,0.040202,0.12474,-0.023325,0.0065385,-0.065722,-0.065488,-0.039272,-0.036564,-0.012458,-12.895,6.4338,1.9521,0.98194,0.17372,0.013685,0.12113,-0.081061,-0.03298,-0.088718,-0.056481,-0.034053,-0.034888,0.004197,normal
-8.4351,4.1847,1.6852,1.3213,0.38163,0.23304,0.0046058,-0.18139,-0.012883,-0.16877,-0.042833,0.014821,-0.06,0.011693,-10.109,4.8681,1.9333,1.8579,0.46519,0.37505,0.073387,-0.2459,0.0042502,-0.23291,-0.090963,-0.0070259,-0.059472,0.03571,-10.987,5.1601,1.9925,2.056,0.48886,0.42801,0.046775,-0.29931,0.054443,-0.23437,-0.054418,-0.010335,-0.083623,0.044754,-10.467,4.9801,1.913,1.8747,0.49445,0.36655,0.0088887,-0.28247,0.039839,-0.22965,-0.058706,0.0092568,-0.091951,0.036138,abnormal
-9.1361,5.1524,2.0805,1.9771,0.1812,0.22945,-0.11207,-0.4006,-0.031431,-0.30037,0.046088,0.058548,-0.047831,0.06306,-9.6998,5.2716,1.8884,1.8891,0.15391,0.31743,-0.022583,-0.36732,-0.0076411,-0.32086,0.043108,0.032762,-0.068371,0.071303,-11.483,5.0826,1.5952,2.1214,-0.065616,0.49203,-0.028024,-0.40741,0.074257,-0.38872,0.066544,0.011597,-0.0623,0.084028,-11.822,5.1687,1.6657,2.3184,-0.052618,0.45704,-0.051178,-0.42735,0.084724,-0.39879,0.074205,0.011903,-0.0655,0.084069,normal
-7.5221,5.9003,1.5023,1.1722,-0.053317,-0.21364,-0.058762,-0.11643,0.10122,-0.014176,-0.020181,-0.026701,-0.034848,0.016489,-8.9511,5.8477,1.0943,1.0988,0.035075,0.0041733,0.15642,-0.039209,0.045079,-0.20012,-0.108,0.0010928,-0.011128,-0.0060925,-14.336,5.6639,0.34184,1.5162,-0.22608,0.022428,0.081913,-0.29732,0.06315,-0.15783,-0.024613,-0.041635,-0.042494,0.021954,-15.529,5.573,0.17828,1.8758,-0.22365,0.17723,0.18496,-0.28931,0.094007,-0.17433,0.010347,-0.062753,-0.038507,0.019386,abnormal
