,atomAmp1,atomFreq1,atomAmp2,atomFreq2,atomAmp3,atomAmp4,atomPos4,atomFreq5,atomPos5,atomAmp6,atomFreq7,atomPos7,atomFreq8,atomPos9,atomPos10,atomPos11,atomFreq12,atomPos13,atomPos14,LPC_Coefficient4,Class
0,0.68726,0.019531,0.6188600000000001,0.015625,0.36384,0.27681,800,0.015625,96,0.16869,0.03125,784,0.023438,0,304,480,0.03125,864,832,-0.027462999999999998,abnormal
1,1.2349,0.019531,0.62092,0.015625,0.34126,0.37932,0,0.019531,608,0.26729,0.03125,544,0.10937999999999999,352,512,40,0.03125,32,544,-0.005797699999999999,abnormal
2,0.38903000000000004,0.015625,0.27476999999999996,0.03125,0.2034,0.17382999999999998,28,0.015625,672,0.11175999999999998,0.023438,816,0.023438,416,192,128,0.054688,728,544,-0.15353,abnormal
3,1.7630000000000001,0.015625,0.9466600000000001,0.015625,0.76307,0.35658,12,0.019531,32,0.3277,0.011719,96,0.015625,640,16,640,0.03125,656,24,-0.022747999999999997,abnormal
4,0.47731999999999997,0.015625,0.25298000000000004,0.03125,0.2201,0.16432,0,0.011719,544,0.10444,0.03125,16,0.03125,36,0,32,0.015625,192,64,-0.017116,abnormal
5,1.3219999999999998,0.40625,1.2048,0.375,1.1327,1.0882,692,0.33203,992,0.99464,0.40625,244,0.33594,1140,1092,24,0.33594,1248,1472,5.4641,abnormal
6,0.66137,0.023438,0.5687800000000001,0.015625,0.40428000000000003,0.23978000000000002,0,0.035156,512,0.14848,0.015625,144,0.054688,608,0,560,0.0078125,544,168,0.0068182,normal
7,0.22716999999999998,0.36719,0.20803000000000002,0.41406000000000004,0.18392999999999998,0.18391,1344,0.42188000000000003,944,0.16465,0.39061999999999997,440,0.39061999999999997,416,344,1552,0.4375,1376,1636,2.7458,abnormal
8,0.16143,0.03125,0.15764,0.019531,0.12634,0.1012,80,0.015625,112,0.094169,0.023438,416,0.015625,544,576,448,0.03125,0,800,0.7693300000000001,normal
9,0.17559,0.027344,0.19512000000000002,0.015625,0.17151,0.10454000000000001,608,0.03125,624,0.092557,0.015625,32,0.0625,544,12,576,0.09375,96,72,0.84864,abnormal
10,0.6264,0.054688,0.36721,0.039062,0.26386,0.33962,0,0.019531,0,0.18853,0.015625,96,0.046875,688,592,0,0.078125,760,152,0.023336000000000003,normal
11,0.56148,0.015625,0.35159,0.015625,0.32191,0.29486999999999997,576,0.0078125,640,0.22694,0.015625,544,0.0,624,640,576,0.0625,120,640,-0.040482,normal
12,0.79704,0.019531,0.51742,0.03125,0.3239,0.26635,56,0.019531,608,0.21311,0.015625,16,0.046875,752,128,0,0.0078125,776,304,-0.089407,abnormal
13,0.74307,0.039062,0.39812,0.03125,0.34453,0.22466999999999998,704,0.023438,448,0.15188,0.03125,72,0.019531,40,32,128,0.023438,256,576,0.13224,abnormal
14,0.31503000000000003,0.015625,0.31361,0.019531,0.21848,0.1992,0,0.03125,688,0.18223,0.019531,480,0.03125,784,464,800,0.03125,64,352,-0.079217,abnormal
15,0.9315,0.015625,0.6509199999999999,0.03125,0.62183,0.5281,712,0.023438,80,0.38008000000000003,0.023438,736,0.011719,4,384,744,0.019531,224,896,-0.14137,normal
16,0.5381199999999999,0.03125,0.21126999999999999,0.03125,0.20770999999999998,0.17165999999999998,0,0.0625,704,0.13639,0.019531,672,0.039062,32,4,544,0.027344,64,416,-0.021148,abnormal
17,0.52578,0.023438,0.31003000000000003,0.015625,0.22209,0.19302,128,0.039062,48,0.15874000000000002,0.03125,0,0.023438,32,672,224,0.011719,56,8,-0.22621999999999998,abnormal
18,0.8289,0.015625,0.73155,0.015625,0.45713000000000004,0.38049,64,0.039062,32,0.24850999999999998,0.03125,592,0.019531,96,352,128,0.03125,480,672,0.028102999999999996,normal
19,0.80666,0.015625,0.59123,0.015625,0.36561,0.27935,0,0.023438,64,0.2563,0.03125,568,0.03125,464,32,160,0.015625,48,72,-0.048520999999999995,abnormal
20,0.60119,0.023438,0.22286,0.015625,0.19278,0.1233,640,0.023438,848,0.1087,0.03125,0,0.015625,672,288,752,0.015625,416,728,-0.093957,abnormal
21,0.51682,0.015625,0.34202,0.015625,0.26863000000000004,0.17556,0,0.015625,72,0.09765,0.015625,192,0.015625,0,752,464,0.015625,152,720,0.4586,abnormal
22,0.46037,0.03125,0.43054,0.019531,0.42700000000000005,0.35472,16,0.046875,800,0.23955,0.023438,736,0.03125,480,64,320,0.10937999999999999,224,736,-0.14959,abnormal
23,1.0472,0.015625,0.35863,0.0,0.36727,0.3602,0,0.09765599999999999,352,0.34059,0.0625,372,0.015625,416,160,12,0.0078125,512,348,0.59108,abnormal
24,0.71441,0.015625,0.36978,0.03125,0.28486,0.22825,720,0.023438,448,0.19685999999999998,0.015625,64,0.011719,128,0,608,0.019531,0,672,-0.18162999999999999,normal
25,0.16373,0.023438,0.12718,0.019531,0.11574000000000001,0.090827,544,0.023438,752,0.072854,0.0,8,0.0625,512,40,544,0.015625,656,944,-0.14525,abnormal
26,1.5521,0.023438,0.5313399999999999,0.015625,0.66903,0.20793000000000003,0,0.03125,96,0.16514,0.015625,48,0.03125,0,608,208,0.03125,592,48,-0.25187,normal
27,0.36604000000000003,0.023438,0.3451,0.019531,0.20495,0.19044,672,0.023438,432,0.13878,0.015625,640,0.03125,392,800,0,0.10937999999999999,48,744,0.010947,normal
28,0.26838,0.03125,0.22366999999999998,0.015625,0.17933,0.12460999999999998,624,0.03125,12,0.11034000000000001,0.039062,0,0.015625,736,320,160,0.0625,16,752,-0.061795,normal
29,0.40188,0.03125,0.27055,0.019531,0.20252,0.12477,736,0.03125,16,0.10362,0.035156,64,0.019531,160,32,48,0.0625,640,16,3.9241,abnormal
30,0.71365,0.03125,0.3794,0.027344,0.27786,0.19610999999999998,56,0.023438,0,0.13088,0.0625,688,0.06640599999999999,576,856,20,0.070312,672,160,-0.14627,abnormal
31,1.0338,0.015625,0.62139,0.015625,0.33737,0.3979,0,0.015625,704,0.23274,0.0078125,0,0.046875,0,768,136,0.015625,288,880,-0.083719,normal
32,0.92432,0.035156,0.29665,0.027344,0.2489,0.18194000000000002,96,0.023438,16,0.13523,0.023438,480,0.027344,752,0,80,0.050781,732,352,1.5418,abnormal
33,0.47481999999999996,0.035156,0.3082,0.027344,0.23108,0.19842,0,0.019531,384,0.16901,0.046875,0,0.03125,512,96,32,0.015625,128,608,-0.16364,abnormal
34,0.29328000000000004,0.03125,0.21156999999999998,0.03125,0.20533,0.19683,32,0.015625,736,0.12462000000000001,0.03125,0,0.0078125,288,72,672,0.023438,672,288,-0.15884,normal
35,0.5382899999999999,0.03125,0.34915,0.019531,0.32256,0.34948,8,0.03125,0,0.20884,0.039062,624,0.023438,640,0,384,0.015625,48,368,0.85992,abnormal
36,0.54442,0.015625,0.19884000000000002,0.03125,0.19346,0.13682,128,0.0,124,0.093836,0.023438,208,0.03125,768,64,672,0.011719,4,272,-0.14372000000000001,abnormal
37,0.34943,0.015625,0.32503000000000004,0.019531,0.26456,0.22225999999999999,608,0.015625,800,0.18988,0.023438,224,0.015625,64,496,832,0.046875,84,416,1.2772,normal
38,0.06274600000000001,0.019531,0.045836,0.015625,0.034941,0.033248,704,0.25,48,0.023584,0.0625,48,0.125,76,784,704,0.21875,136,0,1.2737,abnormal
39,0.54399,0.03125,0.24475,0.054688,0.20457999999999998,0.14504,672,0.070312,544,0.099276,0.046875,16,0.015625,656,0,592,0.023438,448,224,-0.067478,abnormal
40,0.25056,0.015625,0.19974,0.015625,0.14094,0.1689,24,0.015625,56,0.10297,0.046875,768,0.023438,552,352,0,0.03125,448,808,0.031681,abnormal
41,0.8147,0.015625,0.75592,0.019531,0.5785,0.34114,4,0.03125,608,0.20556,0.023438,736,0.019531,608,576,72,0.015625,0,0,0.0082785,abnormal
42,0.64084,0.015625,0.47934,0.015625,0.3377,0.29778000000000004,672,0.046875,704,0.1992,0.046875,32,0.015625,832,160,96,0.039062,0,8,-0.10444,abnormal
43,0.36528,0.015625,0.25488,0.054688,0.23867,0.18738,48,0.046875,800,0.11193,0.046875,864,0.03125,832,352,672,0.035156,352,208,0.21584,abnormal
44,0.29238000000000003,0.023438,0.36569,0.03125,0.17426,0.12364000000000001,352,0.023438,768,0.098651,0.046875,80,0.015625,64,256,240,0.03125,48,736,0.054609000000000005,abnormal
45,0.5915100000000001,0.015625,0.36676,0.019531,0.29917,0.25904,16,0.035156,0,0.13756,0.015625,80,0.015625,688,568,192,0.027344,784,0,0.54343,abnormal
46,0.24445999999999998,0.39061999999999997,0.20167000000000002,0.4375,0.17886,0.17473,1440,0.48828,1216,0.16025,0.39061999999999997,896,0.46875,1224,688,1524,0.40625,1440,672,3.0138,abnormal
47,1.3079,0.015625,0.42245,0.015625,0.34906,0.30208,64,0.019531,96,0.17909,0.023438,576,0.03125,32,0,416,0.0,128,0,-0.06840800000000001,abnormal
48,1.1683,0.015625,0.85545,0.015625,0.53428,0.4085,40,0.015625,0,0.3322,0.046875,640,0.03125,64,128,72,0.05859400000000001,448,512,0.039651,normal
