MFCC1_S1,MFCC6_S1,MFCC2_S2,MFCC4_S2,MFCC5_S2,MFCC6_S2,MFCC5_Sys,MFCC6_Sys,MFCC13_Sys,MFCC1_Dias,MFCC3_Dias,MFCC5_Dias,MFCC6_Dias,MFCC7_Dias,MFCC12_Dias,MFCC13_Dias,MFCC14_Dias,atomPos4,atomLen6,atomFreq6,atomPos6,atomLen7,atomLen11,atomFreq11,atomFreq15,LPC_Coefficient2,LPC_Coefficient4,LPC_Coefficient8,LPC_Coefficient9,LPC_Coefficient14,Class
-7.3987,0.31592,5.5539,1.7086,0.19291,-0.16118,-0.13903,0.34176,-0.083232,-11.415,0.64371,0.0053861,0.33299,0.18773,-0.087877,-0.076742,-0.0031788,358.56,198.22,0.012804,415,241.78,162.67,0.015842,0.026367,-0.62574,-0.091203,0.0041419,0.032642,-0.0071859,abnormal
0.39934,0.084944,5.8408,0.89912,-0.11832,-0.04964,-0.86096,0.30669,0.018652,-9.0874,1.1561,0.022267,0.041163,0.12035,-0.035862,-0.052884,-0.015843,273.08,194.46,0.018329,260.92,237.54,158.77,0.019606,0.020883,-0.66822,-0.04331,0.046261,0.025517,-0.0073001,abnormal
-10.254,0.0047837,5.4023,1.5961,0.49066,0.082468,0.59195,0.13629,0.0060279,-18.816,2.0595,0.44658,0.17405,0.10265,0.035839,0.01504,-0.013304,346.88,230.4,0.016172,513.28,224,175.36,0.019062,0.014063,-0.65209,-0.070702,0.054066,0.023949,-0.0060126,abnormal
-4.3783,0.30575,6.1326,0.82175,-0.23815,-0.35068,0.0098506,0.085281,-0.062157,-12.182,1.5843,0.062019,0.17611,0.20926,-0.039131,-0.081665,-0.0094043,206.17,239.54,0.012388,302.06,187.43,196.57,0.020089,0.021819,-0.55024,-0.098094,0.059406,0.039446,-0.014506,abnormal
-5.1693,0.3569,5.3314,1.5921,0.7932,0.26909,0.64789,0.17717,-0.030535,-14.562,2.2129,0.68416,0.17741,0.16835,-0.06262,-0.047326,0.00095219,187.62,145.85,0.015437,215.08,174.77,157.54,0.020132,0.020883,-0.48214,-0.055762,0.043123,0.029287,-0.0098993,abnormal
-1.1177,0.14728,5.37,1.3137,0.56135,0.21474,0.53925,0.15552,-0.045059,-3.5968,2.4433,0.48879,0.13362,-0.0054988,-0.025188,-0.030195,0.0040705,711.2,194.13,0.41849,535.2,213.33,189.87,0.36328,0.37858,1.5377,2.1846,1.3062,0.99073,0.19072,abnormal
-4.7794,-0.1269,5.9727,0.91511,0.26744,0.028804,0.18627,0.040202,-0.036564,-12.895,1.9521,0.17372,0.013685,0.12113,-0.034053,-0.034888,0.004197,183.62,192,0.017671,265.43,151.62,216.38,0.013253,0.016927,-0.78387,-0.014876,0.047186,0.014252,-0.0036016,normal
-8.4351,0.23304,4.8681,1.8579,0.46519,0.37505,0.48886,0.42801,-0.083623,-10.467,1.913,0.49445,0.36655,0.0088887,0.0092568,-0.091951,0.036138,659.29,181.96,0.39691,541.96,180.71,195.14,0.39805,0.41234,1.3561,1.2455,0.75601,0.64728,0.14219,abnormal
-9.1361,0.22945,5.2716,1.8891,0.15391,0.31743,-0.065616,0.49203,-0.0623,-11.822,1.6657,-0.052618,0.45704,-0.051178,0.011903,-0.0655,0.084069,258.61,248.35,0.018725,304.87,228.17,186.43,0.018767,0.021951,-0.5521,-0.066251,0.043147,0.02864,0.00031266,normal
-7.5221,-0.21364,5.8477,1.0988,0.035075,0.0041733,-0.22608,0.022428,-0.042494,-15.529,0.17828,-0.22365,0.17723,0.18496,-0.062753,-0.038507,0.019386,181.73,152.73,0.01638,224.64,203.64,157.09,0.022994,0.021174,-0.85566,0.062782,0.0046456,-0.014083,0.010826,abnormal
