,MFCC1_S1,MFCC6_S1,MFCC2_S2,MFCC4_S2,MFCC5_S2,MFCC6_S2,MFCC5_Sys,MFCC3_Dias,MFCC5_Dias,MFCC6_Dias,MFCC7_Dias,MFCC12_Dias,MFCC13_Dias,MFCC14_Dias,atomPos4,atomFreq5,atomLen6,atomFreq6,atomLen7,atomLen11,atomFreq11,atomFreq15,Class
0,-7.3987,0.31592,5.5539,1.7086,0.19291,-0.16118,-0.13903,0.64371,0.0053861000000000004,0.33299,0.18773,-0.087877,-0.07674199999999999,-0.0031788,358.56,0.012424,198.22,0.012804,241.78,162.67,0.015842,0.026367,abnormal
1,0.39934000000000003,0.084944,5.8408,0.89912,-0.11832000000000001,-0.04964,-0.8609600000000001,1.1561,0.022267,0.041163,0.12035,-0.035862,-0.052884,-0.015843,273.08,0.017953999999999998,194.46,0.018328999999999998,237.54,158.77,0.019606000000000002,0.020883000000000002,abnormal
2,-10.254000000000001,0.004783699999999999,5.4023,1.5961,0.49066000000000004,0.082468,0.59195,2.0595,0.44658000000000003,0.17405,0.10265,0.035838999999999996,0.015040000000000001,-0.013304,346.88,0.015,230.4,0.016172,224.0,175.36,0.019062,0.014062999999999999,abnormal
3,-4.3783,0.30575,6.1326,0.82175,-0.23815,-0.35068,0.0098506,1.5843,0.062019000000000005,0.17611,0.20926,-0.039131,-0.081665,-0.009404299999999999,206.17,0.015681,239.54,0.012388,187.43,196.57,0.020089,0.021818999999999998,abnormal
4,-5.1693,0.3569,5.3314,1.5921,0.7932,0.26909,0.64789,2.2129,0.68416,0.17740999999999998,0.16835,-0.06262000000000001,-0.047326,0.00095219,187.62,0.018292,145.85,0.015437000000000001,174.77,157.54,0.020132,0.020883000000000002,abnormal
5,-1.1177,0.14728,5.37,1.3137,0.56135,0.21474000000000001,0.53925,2.4433,0.48878999999999995,0.13362000000000002,-0.0054988,-0.025188,-0.030195,0.0040704999999999995,711.2,0.42318,194.13,0.41849,213.33,189.87,0.36328,0.37858,abnormal
6,-4.7794,-0.1269,5.9727,0.9151100000000001,0.26744,0.028804000000000003,0.18627,1.9521,0.17372,0.013685,0.12113,-0.034053,-0.034888,0.004197,183.62,0.013625,192.0,0.017671,151.62,216.38,0.013253000000000001,0.016927,normal
7,-8.4351,0.23304,4.8681,1.8579,0.46518999999999994,0.37505,0.48886,1.913,0.49445,0.36655,0.0088887,0.009256799999999999,-0.091951,0.036137999999999997,659.29,0.39959,181.96,0.39691,180.71,195.14,0.39805,0.41234,abnormal
8,-9.1361,0.22945,5.2716,1.8891,0.15391,0.31743000000000005,-0.065616,1.6657,-0.052618,0.45703999999999995,-0.051177999999999994,0.011903,-0.0655,0.084069,258.61,0.01571,248.35,0.018725,228.17,186.43,0.018767,0.021951,normal
9,-7.5221,-0.21364,5.8477,1.0988,0.035075,0.0041733000000000004,-0.22608000000000003,0.17828,-0.22365,0.17723,0.18495999999999999,-0.062753,-0.038507,0.019386,181.73,0.015225,152.73,0.016380000000000002,203.64,157.09,0.022994,0.021174000000000002,abnormal
10,-6.2211,-0.4027,6.1046,1.2237,0.077472,-0.27814,-0.21645,1.0095,-0.017311,-0.061266999999999995,0.062638,-0.029485,-0.040419,0.011479999999999999,472.42,0.026521,122.95,0.021176,143.16,199.58,0.021279,0.023797,normal
11,-9.9166,0.10914000000000001,5.7997,1.3449,0.32265,0.089634,-0.1352,1.8406,-0.07803500000000001,0.18714,0.18135,0.04584,-0.08530499999999999,-0.0099205,237.0,0.018415,171.43,0.022252,198.86,182.86,0.017578,0.026786,normal
12,-2.8026,0.085436,5.2449,1.6169,0.31048000000000003,0.48544,-0.38221,-0.5,-0.36296999999999996,0.81604,0.0099709,-0.097611,-0.0098679,0.00031062,411.37,0.016036,162.53,0.012695,176.0,243.37,0.013928999999999999,0.022101,abnormal
13,-6.7164,-0.24775999999999998,5.5258,1.6318,0.60951,0.15125,0.09012300000000001,2.9912,0.9073100000000001,0.25125,-0.088772,0.00073796,0.018747,0.032934,255.12,0.015808000000000003,210.0,0.014525999999999999,243.0,189.0,0.021057,0.022949,abnormal
14,-6.433,0.22915,5.7299,1.2652,0.23549,0.21151,0.16834000000000002,2.0495,0.1488,0.3955,0.058488,-0.076609,-0.08745499999999999,0.084578,353.26,0.011667,236.63,0.01213,176.0,217.26,0.015831,0.019428,abnormal
15,-3.2093,0.007204,5.8173,1.0112,0.21436,-0.0063774999999999995,0.035686,2.3508,0.049712,0.12568,0.11241,-0.016493,-0.064225,-0.014496,300.65,0.013798,218.84,0.014365000000000001,307.61,239.48,0.020916999999999998,0.019216,normal
16,-10.610999999999999,-0.02072,5.8017,1.2533,0.25683,0.038544999999999996,0.15763,1.13,0.19378,0.3081,0.16395,-0.024919999999999998,-0.030724,0.015482,215.16,0.016396,157.47,0.018606,187.79,219.79,0.017424000000000002,0.020816,abnormal
17,-6.2532,0.21436,5.4208,1.5467,0.72334,0.25882,0.56742,3.0283,0.76543,0.21125,-0.012293,-0.044287,-0.016627,-0.0042787,181.64,0.015269999999999999,218.18,0.016246,173.09,256.0,0.014381999999999999,0.019531,abnormal
18,-6.8862,-0.08327999999999999,5.8862,1.1591,0.24234,0.016991,0.2263,2.0517,0.33266,0.15615,0.11824000000000001,0.007052299999999999,-0.044092,0.0016224,129.71,0.017800999999999997,167.31,0.018025,178.29,164.57,0.018248,0.02221,normal
19,-1.9234,0.049844,5.9434,0.9480700000000001,0.08654400000000001,0.17840999999999999,-0.16015,1.1644,0.044282999999999996,0.1027,0.06425700000000001,0.006705,-0.057453,0.008427,176.29,0.013352000000000001,183.85,0.018608,199.56,158.84,0.019141,0.023366,abnormal
20,-10.809000000000001,0.23872,5.9193,1.0487,0.5108600000000001,0.15407,0.35395,2.2424,0.41767,0.15072,0.10862000000000001,-0.021294,-0.039605,-0.009980500000000002,390.19,0.015436000000000002,231.23,0.014491,241.55,206.45,0.018397,0.016066,abnormal
21,-5.5736,0.20714000000000002,5.5604,1.3764,0.26921,0.1839,-0.52632,0.9279299999999999,0.45116000000000006,0.3597,0.24115999999999999,-0.052601,-0.051199,0.012112000000000001,354.62,0.010506,194.21,0.014952000000000002,212.97,205.24,0.017511000000000002,0.017848,abnormal
22,-3.4291,-0.056012,5.9155,1.0585,0.00010238,-0.013441999999999999,-0.32272,1.7101,0.20759,0.097288,0.031081,-0.017903,-0.033993,-0.0084277,298.43,0.018341999999999997,274.09,0.016474000000000003,193.39,182.26,0.019701,0.021315,abnormal
