atomLen1,atomAmp1,atomFreq1,atomPhase1,atomPos1,atomLen2,atomAmp2,atomFreq2,atomPhase2,atomPos2,atomLen3,atomAmp3,atomFreq3,atomPhase3,atomPos3,atomLen4,atomAmp4,atomFreq4,atomPhase4,atomPos4,atomLen5,atomAmp5,atomFreq5,atomPhase5,atomPos5,atomLen6,atomAmp6,atomFreq6,atomPhase6,atomPos6,atomLen7,atomAmp7,atomFreq7,atomPhase7,atomPos7,atomLen8,atomAmp8,atomFreq8,atomPhase8,atomPos8,atomLen9,atomAmp9,atomFreq9,atomPhase9,atomPos9,atomLen10,atomAmp10,atomFreq10,atomPhase10,atomPos10,atomLen11,atomAmp11,atomFreq11,atomPhase11,atomPos11,atomLen12,atomAmp12,atomFreq12,atomPhase12,atomPos12,atomLen13,atomAmp13,atomFreq13,atomPhase13,atomPos13,atomLen14,atomAmp14,atomFreq14,atomPhase14,atomPos14,atomLen15,atomAmp15,atomFreq15,atomPhase15,atomPos15,LPC_Coefficient2,LPC_Coefficient3,LPC_Coefficient4,LPC_Coefficient5,LPC_Coefficient6,LPC_Coefficient7,LPC_Coefficient8,LPC_Coefficient9,LPC_Coefficient10,LPC_Coefficient11,LPC_Coefficient12,LPC_Coefficient13,LPC_Coefficient14,LPC_Coefficient15,LPC_Coefficient16,Class
168.89,4.5618,0.015516,0.54028,512.44,190.22,3.5921,0.014865,-0.39878,193.78,192.0,2.1344,0.010634000000000001,-0.41956000000000004,143.78,272.89,1.7381,0.011609999999999999,-0.3492,358.56,189.33,1.4003,0.012424,-0.097583,401.56,198.22,1.2089,0.012804,-0.32293,415.0,241.78,1.0077,0.011773,0.0086411,419.0,256.0,0.8820899999999999,0.017687,0.068237,366.0,177.78,0.76068,0.015734,0.75095,329.67,281.78,0.67757,0.012424,0.31731,294.89,162.67,0.62908,0.015842,0.23839000000000002,358.44,224.89,0.54862,0.015951,-0.057584,337.78,168.0,0.51889,0.018555000000000002,-0.13482,509.22,217.78,0.46048,0.017958000000000002,0.48946999999999996,364.44,208.0,0.42572,0.026367,0.0078204,359.33,-0.62574,-0.16541,-0.09120299999999999,0.06662699999999999,0.021835,0.06675299999999999,0.0041419,0.032642000000000004,-0.0028106999999999997,0.020040000000000002,-0.0026035999999999998,0.007972100000000001,-0.007185899999999999,0.0056394,0.015642,abnormal
153.85,3.6757,0.014422999999999998,-0.25121,265.54,172.31,2.9765,0.010817,0.1857,170.15,169.85,2.2958,0.011493000000000001,-0.01319,221.23,204.31,1.5927,0.014348,0.09010900000000001,273.08,172.31,1.4426,0.017953999999999998,0.009072700000000001,288.92,194.46,1.173,0.018328999999999998,-0.017897,260.92,237.54,1.0676,0.014799000000000001,0.21091999999999997,187.38,189.54,0.9522200000000001,0.015099000000000001,0.058437,320.62,146.46,0.8901600000000001,0.020358,0.32781,322.77,194.46,0.7861,0.015625,0.53889,238.92,158.77,0.67625,0.019606000000000002,0.39871999999999996,290.62,209.23,0.6213,0.016526,0.35647,335.54,150.15,0.5655600000000001,0.016526,0.033576999999999996,391.54,180.92,0.50934,0.020959000000000002,-0.15893,306.31,163.69,0.44053000000000003,0.020883000000000002,0.51977,328.46,-0.66822,-0.16715,-0.04331,0.07381900000000001,0.08404600000000001,0.07410599999999999,0.046261000000000004,0.025516999999999998,0.014925,0.0070385000000000005,0.001551,-0.0048113,-0.0073001,0.0026984,0.017446,abnormal
343.04,7.8473,0.010469,0.33259,392.96,184.32,7.152,0.010313,0.024697999999999998,76.16,153.6,3.3659,0.011875,-0.55576,44.32,235.52,2.8078,0.01375,-0.053478,346.88,243.2,2.3391,0.015,-0.04659,355.84,230.4,2.169,0.016172,0.14196,513.28,224.0,1.8536,0.017031,0.16297999999999999,480.64,218.88,1.5193,0.012188,0.19472,375.36,198.4,1.3113,0.014766,0.36895,345.12,240.64,1.2221,0.014531,0.4101,214.24,175.36,1.0757,0.019062,0.32098000000000004,221.12,199.68,0.95547,0.012734,-0.32957,397.76,253.44,0.9244899999999999,0.011641,-0.36725,358.72,190.72,0.77227,0.013437000000000001,0.47636000000000006,480.8,215.04,0.68335,0.014062999999999999,0.19955,346.4,-0.65209,-0.29938000000000003,-0.070702,0.051833000000000004,0.093651,0.084898,0.054065999999999996,0.023949,-0.0012010999999999999,-0.012234,-0.01414,-0.011187,-0.006012600000000001,0.00095117,0.010886,abnormal
237.71,7.0216,0.013616,-0.042299,1.8286,149.94,4.3248,0.014731999999999999,-0.22776,120.91,171.89,2.9936,0.014397,-0.14811,445.71,201.14,2.217,0.012723,-0.9071899999999999,206.17,227.66,1.7132,0.015681,-0.2806,293.83,239.54,1.409,0.012388,0.03323,302.06,187.43,1.2537,0.015625,-0.3793,287.09,192.0,1.0776,0.01317,0.23913,384.0,160.0,0.9748399999999999,0.019364,0.19276,340.91,209.37,0.8754299999999999,0.016853,-0.40460999999999997,264.57,196.57,0.81118,0.020089,0.075934,434.51,185.6,0.68535,0.018136000000000003,0.84659,417.14,192.91,0.64465,0.017188,0.27171999999999996,372.11,172.8,0.5697,0.019699,0.52666,410.74,205.71,0.53809,0.021818999999999998,-0.27959,273.6,-0.55024,-0.27663000000000004,-0.098094,0.0070922,0.057823,0.069923,0.059405999999999994,0.039445999999999995,0.017679,-0.00013528,-0.012281,-0.017562,-0.014506,-0.0013429,0.022958000000000003,abnormal
177.23,6.2405,0.016602000000000002,-0.08344700000000001,5.2308,166.15,3.5909,0.014573,0.65187,100.15,133.54,2.7418,0.015024000000000001,-0.15028,240.31,144.62,2.1133,0.013672,0.22771999999999998,187.62,131.08,1.5067,0.018292,0.11500999999999999,126.92,145.85,1.2127,0.015437000000000001,0.27298,215.08,174.77,1.0203,0.016263999999999997,0.13439,167.54,175.38,0.8768600000000001,0.016339,-0.0023578,221.46,187.69,0.76378,0.01585,0.62737,260.92,157.54,0.6431399999999999,0.014761000000000002,0.83335,208.54,157.54,0.5844199999999999,0.020132,-0.17934,260.15,150.15,0.5168699999999999,0.01709,0.33213000000000004,262.54,143.38,0.47911000000000004,0.020733,0.37673,207.46,177.85,0.42898000000000003,0.022611000000000003,-0.086878,262.69,160.0,0.37173,0.020883000000000002,-0.10425999999999999,305.23,-0.48213999999999996,-0.22411999999999999,-0.055762,0.031783,0.060989999999999996,0.057093,0.043123,0.029287,0.02682,0.017897,0.007226000000000001,-0.0040349,-0.0098993,-0.0051146,0.012231,abnormal
121.9,4.8877,0.014602,0.061411,33.333,219.43,3.0758,0.01223,-0.07347999999999999,286.86,186.67,2.3727,0.014275999999999999,-0.095881,305.9,189.71,1.7754,0.01516,0.67427,183.62,245.33,1.419,0.013625,0.43486,212.76,192.0,1.2564,0.017671,-0.010916,265.43,151.62,1.0823,0.019206,0.063722,270.19,215.62,0.9164899999999999,0.015765,0.20621,332.95,214.1,0.81033,0.016368999999999998,0.37687,281.62,151.62,0.7119300000000001,0.017578,0.33288,305.62,216.38,0.6251399999999999,0.013253000000000001,0.31142,331.33,171.43,0.58806,0.016834000000000002,0.7147399999999999,325.33,201.9,0.5244300000000001,0.019857,-0.059383000000000005,316.38,223.24,0.47512,0.014974000000000001,0.33245,359.43,170.67,0.4383,0.016927,0.22285,371.81,-0.78387,-0.27398,-0.014875999999999999,0.092061,0.10647999999999999,0.082712,0.047186,0.014252,-0.0075764,-0.021192,-0.025113,-0.018887,-0.0036016,0.01404,0.022336,normal
202.43,2.0723,0.014946000000000001,0.29002,151.65,205.22,1.6553,0.014861000000000001,-0.032862,270.96,208.0,1.3395,0.013884,0.66061,224.87,209.39,1.1251,0.015413,-0.20459000000000002,258.61,235.13,0.94125,0.01571,0.20187,319.48,248.35,0.8285,0.018725,-0.060212,304.87,228.17,0.75262,0.017154,-0.2172,277.65,197.57,0.68135,0.019828,0.32526,267.13,147.48,0.62934,0.017875,0.6862199999999999,353.39,158.61,0.5563600000000001,0.021315,-0.439,376.96,186.43,0.51226,0.018767,-0.080743,286.43,176.0,0.44401999999999997,0.019275999999999998,-0.036349,284.0,204.52,0.41683000000000003,0.021824,0.43842,328.35,192.0,0.38948,0.022078999999999998,0.20534000000000002,226.96,196.17,0.35013,0.021951,0.83991,366.61,-0.5521,-0.24281999999999998,-0.066251,0.025481999999999998,0.05801799999999999,0.057323,0.043147000000000005,0.02864,0.019336000000000002,0.014743000000000001,0.010928,0.0058222000000000005,0.00031266,-0.0015532999999999999,0.0041419,normal
135.27,3.8710000000000004,0.016069,0.33833,151.27,107.64,3.0869,0.018022,-0.54568,435.64,154.91,2.3578,0.016824000000000002,0.26286,155.91,138.18,1.879,0.013627,0.52456,181.73,152.0,1.574,0.015225,-0.00048448,249.09,152.73,1.24,0.016380000000000002,0.67114,224.64,203.64,1.0809,0.0182,0.24968,316.55,204.36,0.9003700000000001,0.018422,0.36091999999999996,259.82,185.45,0.84486,0.022061,0.60342,289.18,194.18,0.7477,0.019043,-0.25124,291.45,157.09,0.65004,0.022994,-0.064315,276.0,140.36,0.57096,0.020508000000000002,-0.034851,326.64,202.18,0.52071,0.020241,0.5083300000000001,325.64,165.82,0.4695,0.025435,-0.15434,275.55,141.82,0.44078999999999996,0.021174000000000002,0.1209,331.36,-0.8556600000000001,-0.18778,0.062782,0.13434000000000001,0.113,0.05279,0.004645600000000001,-0.014083000000000002,-0.014411000000000002,-0.0051703,0.00076876,-0.010268000000000001,0.010826,0.009012200000000001,0.012166,abnormal
119.58,4.6176,0.022821,-0.12144,65.684,132.21,3.5922,0.021587000000000002,0.21900999999999998,42.316,87.579,2.8357,0.02683,0.1886,200.0,114.53,2.1935,0.023334999999999998,0.47468999999999995,472.42,125.47,1.6885,0.026521,-0.045735000000000005,394.84,122.95,1.3349,0.021176,-0.069553,288.11,143.16,1.1759,0.025287999999999998,0.31571,218.95,130.53,1.0006,0.021998,0.65669,230.32,145.68,0.89651,0.018966,0.026274000000000002,262.63,132.21,0.76107,0.020302,0.42808999999999997,338.74,199.58,0.71233,0.021279,-0.16509000000000001,220.42,159.16,0.65969,0.022255,0.5486300000000001,279.16,137.26,0.60422,0.022872,-0.059057000000000005,304.63,185.26,0.53283,0.023232,-0.033246,186.32,210.53,0.48775,0.023797,0.005052,296.0,-0.7047,-0.19931,-0.004760800000000001,0.083696,0.10413,0.073517,0.034276999999999995,0.0018256,-0.0033773,-0.011569,-0.0031285,0.0023307,0.0044065,0.0075826999999999995,0.021487,normal
192.0,5.6769,0.017159999999999998,-0.22688000000000003,424.0,201.14,4.1818,0.015276,0.25503000000000003,230.86,140.57,2.2051,0.016323,0.086974,344.0,190.86,1.9017,0.014648,0.45302,237.0,182.86,1.419,0.018415,-0.13044,296.86,171.43,1.0737,0.022252,0.27108000000000004,475.71,198.86,0.90156,0.017439,0.085323,333.43,205.71,0.8069,0.015903999999999998,-0.07192899999999999,298.86,195.43,0.6812699999999999,0.020926,-0.72837,294.86,234.29,0.61839,0.018136000000000003,0.12578,307.57,182.86,0.51322,0.017578,0.0866,332.43,218.29,0.46698,0.021275,0.15696,315.86,241.14,0.39896,0.018066,0.31496,289.57,192.0,0.39066999999999996,0.020787,0.068189,267.14,210.29,0.34731,0.026786,0.29945,371.86,-0.59124,-0.27806,-0.07997,0.013878,0.051439,0.057099000000000004,0.055608000000000005,0.049061,0.036552,0.015441,-0.0074968000000000005,-0.022377,-0.022344,-0.006892499999999999,0.020234000000000002,normal
