MFCC1_S1,MFCC2_S1,MFCC3_S1,MFCC4_S1,MFCC5_S1,MFCC6_S1,MFCC7_S1,MFCC8_S1,MFCC9_S1,MFCC10_S1,MFCC11_S1,MFCC12_S1,MFCC13_S1,MFCC14_S1,MFCC1_S2,MFCC2_S2,MFCC3_S2,MFCC4_S2,MFCC5_S2,MFCC6_S2,MFCC7_S2,MFCC8_S2,MFCC9_S2,MFCC10_S2,MFCC11_S2,MFCC12_S2,MFCC13_S2,MFCC14_S2,MFCC1_Sys,MFCC2_Sys,MFCC3_Sys,MFCC4_Sys,MFCC5_Sys,MFCC6_Sys,MFCC7_Sys,MFCC8_Sys,MFCC9_Sys,MFCC10_Sys,MFCC11_Sys,MFCC12_Sys,MFCC13_Sys,MFCC14_Sys,MFCC1_Dias,MFCC2_Dias,MFCC3_Dias,MFCC4_Dias,MFCC5_Dias,MFCC6_Dias,MFCC7_Dias,MFCC8_Dias,MFCC9_Dias,MFCC10_Dias,MFCC11_Dias,MFCC12_Dias,MFCC13_Dias,MFCC14_Dias,atomLen1,atomAmp1,atomFreq1,atomPhase1,atomPos1,atomLen2,atomAmp2,atomFreq2,atomPhase2,atomPos2,atomLen3,atomAmp3,atomFreq3,atomPhase3,atomPos3,atomLen4,atomAmp4,atomFreq4,atomPhase4,atomPos4,atomLen5,atomAmp5,atomFreq5,atomPhase5,atomPos5,atomLen6,atomAmp6,atomFreq6,atomPhase6,atomPos6,atomLen7,atomAmp7,atomFreq7,atomPhase7,atomPos7,atomLen8,atomAmp8,atomFreq8,atomPhase8,atomPos8,atomLen9,atomAmp9,atomFreq9,atomPhase9,atomPos9,atomLen10,atomAmp10,atomFreq10,atomPhase10,atomPos10,atomLen11,atomAmp11,atomFreq11,atomPhase11,atomPos11,atomLen12,atomAmp12,atomFreq12,atomPhase12,atomPos12,atomLen13,atomAmp13,atomFreq13,atomPhase13,atomPos13,atomLen14,atomAmp14,atomFreq14,atomPhase14,atomPos14,atomLen15,atomAmp15,atomFreq15,atomPhase15,atomPos15,Class
-7.3987,4.9964,2.2348,2.0889,0.61602,0.31592,0.18682,-0.1194,-0.016972,-0.15521,-0.034464999999999996,-0.028281,-0.067691,0.027152,-5.6082,5.5539,2.2691,1.7086,0.19291,-0.16118,-0.07203899999999999,-0.10177,0.08819600000000001,0.052445000000000006,0.09762799999999999,-0.020232,-0.09181,-0.034657,-11.148,4.9141,0.51431,2.2494,-0.13903,0.34176,0.19917,-0.069546,0.12170999999999998,-0.26263000000000003,0.056302,-0.08075399999999999,-0.083232,0.010123,-11.415,5.0254,0.64371,2.4473,0.0053861000000000004,0.33299,0.18773,-0.054748000000000005,0.11694,-0.25804,0.034579,-0.087877,-0.07674199999999999,-0.0031788,168.89,4.5618,0.015516,0.54028,512.44,190.22,3.5921,0.014865,-0.39878,193.78,192.0,2.1344,0.010634000000000001,-0.41956000000000004,143.78,272.89,1.7381,0.011609999999999999,-0.3492,358.56,189.33,1.4003,0.012424,-0.097583,401.56,198.22,1.2089,0.012804,-0.32293,415.0,241.78,1.0077,0.011773,0.0086411,419.0,256.0,0.8820899999999999,0.017687,0.068237,366.0,177.78,0.76068,0.015734,0.75095,329.67,281.78,0.67757,0.012424,0.31731,294.89,162.67,0.62908,0.015842,0.23839000000000002,358.44,224.89,0.54862,0.015951,-0.057584,337.78,168.0,0.51889,0.018555000000000002,-0.13482,509.22,217.78,0.46048,0.017958000000000002,0.48946999999999996,364.44,208.0,0.42572,0.026367,0.0078204,359.33,abnormal
0.39934000000000003,6.4361,-0.035604000000000004,0.18162,-0.42868999999999996,0.084944,0.38297,-0.024288999999999998,-0.025349,-0.30189,-0.052428999999999996,0.084915,0.043078,0.055947000000000004,-2.4805,5.8408,1.3278,0.89912,-0.11832000000000001,-0.04964,0.1429,-0.12905999999999998,0.039099,-0.020166999999999997,0.0089216,0.0015639,-0.026489,-0.015727,-0.16485999999999998,6.1933,-1.4118,-0.37926,-0.8609600000000001,0.30669,0.54066,-0.23555,-0.11645,-0.27947,0.031685000000000005,0.072232,0.018652000000000002,0.029026999999999997,-9.0874,5.8064,1.1561,1.8034,0.022267,0.041163,0.12035,-0.15658,0.20201,-0.071987,-0.034504,-0.035862,-0.052884,-0.015843,153.85,3.6757,0.014422999999999998,-0.25121,265.54,172.31,2.9765,0.010817,0.1857,170.15,169.85,2.2958,0.011493000000000001,-0.01319,221.23,204.31,1.5927,0.014348,0.09010900000000001,273.08,172.31,1.4426,0.017953999999999998,0.009072700000000001,288.92,194.46,1.173,0.018328999999999998,-0.017897,260.92,237.54,1.0676,0.014799000000000001,0.21091999999999997,187.38,189.54,0.9522200000000001,0.015099000000000001,0.058437,320.62,146.46,0.8901600000000001,0.020358,0.32781,322.77,194.46,0.7861,0.015625,0.53889,238.92,158.77,0.67625,0.019606000000000002,0.39871999999999996,290.62,209.23,0.6213,0.016526,0.35647,335.54,150.15,0.5655600000000001,0.016526,0.033576999999999996,391.54,180.92,0.50934,0.020959000000000002,-0.15893,306.31,163.69,0.44053000000000003,0.020883000000000002,0.51977,328.46,abnormal
-10.254000000000001,5.582999999999999,3.1022,1.7556,0.6196,0.004783699999999999,-0.1437,-0.19222999999999998,-0.068772,0.011072,0.034735,-0.0013991,-0.050516000000000005,-0.056480999999999996,-10.850999999999999,5.4023,2.5577,1.5961,0.49066000000000004,0.082468,0.080871,-0.16768,-0.13854,-0.11158,-0.07898,-0.023939,-0.018399000000000002,-0.0091699,-15.698,5.5578,2.4928,1.6803,0.59195,0.13629000000000002,0.046058999999999996,-0.16138,-0.07597999999999999,-0.12065,-0.056302,0.0081724,0.006027899999999999,-0.008841700000000001,-18.816,5.8877,2.0595,1.7641,0.44658000000000003,0.17405,0.10265,-0.24741999999999997,-0.07451,-0.14026,-0.045491000000000004,0.035838999999999996,0.015040000000000001,-0.013304,343.04,7.8473,0.010469,0.33259,392.96,184.32,7.152,0.010313,0.024697999999999998,76.16,153.6,3.3659,0.011875,-0.55576,44.32,235.52,2.8078,0.01375,-0.053478,346.88,243.2,2.3391,0.015,-0.04659,355.84,230.4,2.169,0.016172,0.14196,513.28,224.0,1.8536,0.017031,0.16297999999999999,480.64,218.88,1.5193,0.012188,0.19472,375.36,198.4,1.3113,0.014766,0.36895,345.12,240.64,1.2221,0.014531,0.4101,214.24,175.36,1.0757,0.019062,0.32098000000000004,221.12,199.68,0.95547,0.012734,-0.32957,397.76,253.44,0.9244899999999999,0.011641,-0.36725,358.72,190.72,0.77227,0.013437000000000001,0.47636000000000006,480.8,215.04,0.68335,0.014062999999999999,0.19955,346.4,abnormal
-4.3783,5.2538,3.0088,1.8339,0.8535,0.30575,0.071147,-0.072483,-0.075571,-0.097109,-0.038781,-0.040963,-0.041443,-0.035841000000000005,-3.8501,6.1326,2.1195,0.82175,-0.23815,-0.35068,-0.18363,-0.045076,0.19215,0.057939,0.042959,-0.024263999999999997,-0.054225,-0.012114,-11.110999999999999,6.047000000000001,1.4893,1.1937,0.0098506,0.085281,0.15035,-0.09300399999999999,0.061815999999999996,-0.093721,9.570000000000001e-05,-0.048152999999999994,-0.062157000000000004,-0.00083356,-12.182,6.1324,1.5843,1.3649,0.062019000000000005,0.17611,0.20926,-0.1111,0.068534,-0.12440999999999999,-0.035114,-0.039131,-0.081665,-0.009404299999999999,237.71,7.0216,0.013616,-0.042299,1.8286,149.94,4.3248,0.014731999999999999,-0.22776,120.91,171.89,2.9936,0.014397,-0.14811,445.71,201.14,2.217,0.012723,-0.9071899999999999,206.17,227.66,1.7132,0.015681,-0.2806,293.83,239.54,1.409,0.012388,0.03323,302.06,187.43,1.2537,0.015625,-0.3793,287.09,192.0,1.0776,0.01317,0.23913,384.0,160.0,0.9748399999999999,0.019364,0.19276,340.91,209.37,0.8754299999999999,0.016853,-0.40460999999999997,264.57,196.57,0.81118,0.020089,0.075934,434.51,185.6,0.68535,0.018136000000000003,0.84659,417.14,192.91,0.64465,0.017188,0.27171999999999996,372.11,172.8,0.5697,0.019699,0.52666,410.74,205.71,0.53809,0.021818999999999998,-0.27959,273.6,abnormal
-5.1693,4.9891,3.1302,2.0212,1.0621,0.3569,0.048671,-0.13667,-0.19252,-0.17193,-0.07348500000000001,-0.028875,-0.015046,-0.016704,-7.8392,5.3314,2.6039,1.5921,0.7932,0.26909,0.09272799999999999,-0.1104,-0.14951,-0.15685,-0.14115,-0.082615,-0.018875,0.020391,-14.177999999999999,5.2134,1.9919,1.6754,0.64789,0.17717,0.15107,-0.097465,-0.04829,-0.088864,-0.08266,-0.059299,-0.030535000000000003,0.0068983000000000004,-14.562000000000001,5.5715,2.2129,1.8202,0.68416,0.17740999999999998,0.16835,-0.10887999999999999,-0.075291,-0.11422,-0.10017999999999999,-0.06262000000000001,-0.047326,0.00095219,177.23,6.2405,0.016602000000000002,-0.08344700000000001,5.2308,166.15,3.5909,0.014573,0.65187,100.15,133.54,2.7418,0.015024000000000001,-0.15028,240.31,144.62,2.1133,0.013672,0.22771999999999998,187.62,131.08,1.5067,0.018292,0.11500999999999999,126.92,145.85,1.2127,0.015437000000000001,0.27298,215.08,174.77,1.0203,0.016263999999999997,0.13439,167.54,175.38,0.8768600000000001,0.016339,-0.0023578,221.46,187.69,0.76378,0.01585,0.62737,260.92,157.54,0.6431399999999999,0.014761000000000002,0.83335,208.54,157.54,0.5844199999999999,0.020132,-0.17934,260.15,150.15,0.5168699999999999,0.01709,0.33213000000000004,262.54,143.38,0.47911000000000004,0.020733,0.37673,207.46,177.85,0.42898000000000003,0.022611000000000003,-0.086878,262.69,160.0,0.37173,0.020883000000000002,-0.10425999999999999,305.23,abnormal
-4.7794,5.8407,2.8458,1.2183,0.26911999999999997,-0.1269,-0.12395,-0.087645,-0.01208,-0.0050372,-0.009177,-0.025265,-0.024028,-0.0081544,-6.4628,5.9727,2.3059,0.9151100000000001,0.26744,0.028804000000000003,0.021358000000000002,-0.049079000000000005,-0.00079987,-0.045105,-0.077753,-0.039731,-0.05533300000000001,-0.021863,-11.739,6.2066,2.1386,0.9323100000000001,0.18627,0.040202,0.12474,-0.023325,0.006538500000000001,-0.065722,-0.065488,-0.039272,-0.036564,-0.012458,-12.895,6.4338,1.9521,0.9819399999999999,0.17372,0.013685,0.12113,-0.08106100000000001,-0.03298,-0.08871799999999999,-0.056480999999999996,-0.034053,-0.034888,0.004197,121.9,4.8877,0.014602,0.061411,33.333,219.43,3.0758,0.01223,-0.07347999999999999,286.86,186.67,2.3727,0.014275999999999999,-0.095881,305.9,189.71,1.7754,0.01516,0.67427,183.62,245.33,1.419,0.013625,0.43486,212.76,192.0,1.2564,0.017671,-0.010916,265.43,151.62,1.0823,0.019206,0.063722,270.19,215.62,0.9164899999999999,0.015765,0.20621,332.95,214.1,0.81033,0.016368999999999998,0.37687,281.62,151.62,0.7119300000000001,0.017578,0.33288,305.62,216.38,0.6251399999999999,0.013253000000000001,0.31142,331.33,171.43,0.58806,0.016834000000000002,0.7147399999999999,325.33,201.9,0.5244300000000001,0.019857,-0.059383000000000005,316.38,223.24,0.47512,0.014974000000000001,0.33245,359.43,170.67,0.4383,0.016927,0.22285,371.81,normal
-9.1361,5.1524,2.0805,1.9771,0.1812,0.22945,-0.11207,-0.4006,-0.031431,-0.30036999999999997,0.046088,0.058548,-0.047831,0.06306,-9.6998,5.2716,1.8884,1.8891,0.15391,0.31743000000000005,-0.022583000000000002,-0.36732,-0.0076411000000000005,-0.32086,0.043108,0.032762,-0.068371,0.07130299999999999,-11.482999999999999,5.0826,1.5952,2.1214,-0.065616,0.49203,-0.028024,-0.40741,0.074257,-0.38871999999999995,0.066544,0.011597,-0.0623,0.08402799999999999,-11.822000000000001,5.1687,1.6657,2.3184,-0.052618,0.45703999999999995,-0.051177999999999994,-0.42735,0.08472400000000001,-0.39879000000000003,0.074205,0.011903,-0.0655,0.084069,202.43,2.0723,0.014946000000000001,0.29002,151.65,205.22,1.6553,0.014861000000000001,-0.032862,270.96,208.0,1.3395,0.013884,0.66061,224.87,209.39,1.1251,0.015413,-0.20459000000000002,258.61,235.13,0.94125,0.01571,0.20187,319.48,248.35,0.8285,0.018725,-0.060212,304.87,228.17,0.75262,0.017154,-0.2172,277.65,197.57,0.68135,0.019828,0.32526,267.13,147.48,0.62934,0.017875,0.6862199999999999,353.39,158.61,0.5563600000000001,0.021315,-0.439,376.96,186.43,0.51226,0.018767,-0.080743,286.43,176.0,0.44401999999999997,0.019275999999999998,-0.036349,284.0,204.52,0.41683000000000003,0.021824,0.43842,328.35,192.0,0.38948,0.022078999999999998,0.20534000000000002,226.96,196.17,0.35013,0.021951,0.83991,366.61,normal
-7.5221,5.9003,1.5023,1.1722,-0.053316999999999996,-0.21364,-0.058762,-0.11642999999999999,0.10122,-0.014176,-0.020181,-0.026701,-0.034848000000000004,0.016489,-8.9511,5.8477,1.0943,1.0988,0.035075,0.0041733000000000004,0.15642,-0.039209,0.045079,-0.20012,-0.10800000000000001,0.0010927999999999999,-0.011128,-0.0060925,-14.335999999999999,5.6639,0.34184000000000003,1.5162,-0.22608000000000003,0.022428,0.081913,-0.29732,0.06315,-0.15783,-0.024613,-0.041635000000000005,-0.042494,0.021953999999999998,-15.529000000000002,5.5729999999999995,0.17828,1.8758,-0.22365,0.17723,0.18495999999999999,-0.28931,0.09400700000000001,-0.17432999999999998,0.010347,-0.062753,-0.038507,0.019386,135.27,3.8710000000000004,0.016069,0.33833,151.27,107.64,3.0869,0.018022,-0.54568,435.64,154.91,2.3578,0.016824000000000002,0.26286,155.91,138.18,1.879,0.013627,0.52456,181.73,152.0,1.574,0.015225,-0.00048448,249.09,152.73,1.24,0.016380000000000002,0.67114,224.64,203.64,1.0809,0.0182,0.24968,316.55,204.36,0.9003700000000001,0.018422,0.36091999999999996,259.82,185.45,0.84486,0.022061,0.60342,289.18,194.18,0.7477,0.019043,-0.25124,291.45,157.09,0.65004,0.022994,-0.064315,276.0,140.36,0.57096,0.020508000000000002,-0.034851,326.64,202.18,0.52071,0.020241,0.5083300000000001,325.64,165.82,0.4695,0.025435,-0.15434,275.55,141.82,0.44078999999999996,0.021174000000000002,0.1209,331.36,abnormal
-6.2211,6.3371,2.4229,0.9850399999999999,-0.074837,-0.4027,-0.28517,-0.20629,-0.047665,-0.07077,-0.027724000000000002,-0.0050698,-0.038774,-0.021469,-9.5516,6.1046,1.925,1.2237,0.077472,-0.27814,-0.14983,-0.27926,-0.11712,-0.080819,-0.0011505,0.0038016999999999994,-0.065251,-0.024512,-14.775,6.4146,1.0535,0.95209,-0.21645,-0.18055,-0.016373,-0.23242,0.032549,-0.10951,-0.022742,0.0016885000000000001,-0.061970000000000004,-0.027855,-15.59,6.3183,1.0095,1.1835,-0.017311,-0.061266999999999995,0.062638,-0.2594,0.038289,-0.08734199999999999,-0.047137,-0.029485,-0.040419,0.011479999999999999,119.58,4.6176,0.022821,-0.12144,65.684,132.21,3.5922,0.021587000000000002,0.21900999999999998,42.316,87.579,2.8357,0.02683,0.1886,200.0,114.53,2.1935,0.023334999999999998,0.47468999999999995,472.42,125.47,1.6885,0.026521,-0.045735000000000005,394.84,122.95,1.3349,0.021176,-0.069553,288.11,143.16,1.1759,0.025287999999999998,0.31571,218.95,130.53,1.0006,0.021998,0.65669,230.32,145.68,0.89651,0.018966,0.026274000000000002,262.63,132.21,0.76107,0.020302,0.42808999999999997,338.74,199.58,0.71233,0.021279,-0.16509000000000001,220.42,159.16,0.65969,0.022255,0.5486300000000001,279.16,137.26,0.60422,0.022872,-0.059057000000000005,304.63,185.26,0.53283,0.023232,-0.033246,186.32,210.53,0.48775,0.023797,0.005052,296.0,normal
-9.9166,5.4504,2.9577,1.6076,0.52973,0.10914000000000001,-0.038475,-0.15124,-0.040126999999999996,-0.093209,-0.053389,-0.011040000000000001,-0.058540999999999996,-0.022064,-9.1783,5.7997,2.6845,1.3449,0.32265,0.089634,0.11905999999999999,-0.055222,-0.028232999999999998,-0.095736,-0.050023000000000005,-0.027429000000000002,-0.05525,0.00094688,-16.257,6.1535,2.0594,1.2277,-0.1352,0.030876,0.097328,-0.21013,0.11017,-0.097968,-0.041012,0.046214,-0.07057999999999999,-0.0031739,-17.177,6.1425,1.8406,1.3373,-0.07803500000000001,0.18714,0.18135,-0.22202,0.091731,-0.15718,-0.034980000000000004,0.04584,-0.08530499999999999,-0.0099205,192.0,5.6769,0.017159999999999998,-0.22688000000000003,424.0,201.14,4.1818,0.015276,0.25503000000000003,230.86,140.57,2.2051,0.016323,0.086974,344.0,190.86,1.9017,0.014648,0.45302,237.0,182.86,1.419,0.018415,-0.13044,296.86,171.43,1.0737,0.022252,0.27108000000000004,475.71,198.86,0.90156,0.017439,0.085323,333.43,205.71,0.8069,0.015903999999999998,-0.07192899999999999,298.86,195.43,0.6812699999999999,0.020926,-0.72837,294.86,234.29,0.61839,0.018136000000000003,0.12578,307.57,182.86,0.51322,0.017578,0.0866,332.43,218.29,0.46698,0.021275,0.15696,315.86,241.14,0.39896,0.018066,0.31496,289.57,192.0,0.39066999999999996,0.020787,0.068189,267.14,210.29,0.34731,0.026786,0.29945,371.86,normal
