MFCC1_S1,MFCC2_S1,MFCC3_S1,MFCC4_S1,MFCC5_S1,MFCC6_S1,MFCC7_S1,MFCC8_S1,MFCC9_S1,MFCC10_S1,MFCC11_S1,MFCC12_S1,MFCC13_S1,MFCC14_S1,MFCC1_S2,MFCC2_S2,MFCC3_S2,MFCC4_S2,MFCC5_S2,MFCC6_S2,MFCC7_S2,MFCC8_S2,MFCC9_S2,MFCC10_S2,MFCC11_S2,MFCC12_S2,MFCC13_S2,MFCC14_S2,MFCC1_Sys,MFCC2_Sys,MFCC3_Sys,MFCC4_Sys,MFCC5_Sys,MFCC6_Sys,MFCC7_Sys,MFCC8_Sys,MFCC9_Sys,MFCC10_Sys,MFCC11_Sys,MFCC12_Sys,MFCC13_Sys,MFCC14_Sys,MFCC1_Dias,MFCC2_Dias,MFCC3_Dias,MFCC4_Dias,MFCC5_Dias,MFCC6_Dias,MFCC7_Dias,MFCC8_Dias,MFCC9_Dias,MFCC10_Dias,MFCC11_Dias,MFCC12_Dias,MFCC13_Dias,MFCC14_Dias,Class
-7.3987,4.9964,2.2348,2.0889,0.61602,0.31592,0.18682,-0.1194,-0.016972,-0.15521,-0.034464999999999996,-0.028281,-0.067691,0.027152,-5.6082,5.5539,2.2691,1.7086,0.19291,-0.16118,-0.07203899999999999,-0.10177,0.08819600000000001,0.052445000000000006,0.09762799999999999,-0.020232,-0.09181,-0.034657,-11.148,4.9141,0.51431,2.2494,-0.13903,0.34176,0.19917,-0.069546,0.12170999999999998,-0.26263000000000003,0.056302,-0.08075399999999999,-0.083232,0.010123,-11.415,5.0254,0.64371,2.4473,0.0053861000000000004,0.33299,0.18773,-0.054748000000000005,0.11694,-0.25804,0.034579,-0.087877,-0.07674199999999999,-0.0031788,abnormal
0.39934000000000003,6.4361,-0.035604000000000004,0.18162,-0.42868999999999996,0.084944,0.38297,-0.024288999999999998,-0.025349,-0.30189,-0.052428999999999996,0.084915,0.043078,0.055947000000000004,-2.4805,5.8408,1.3278,0.89912,-0.11832000000000001,-0.04964,0.1429,-0.12905999999999998,0.039099,-0.020166999999999997,0.0089216,0.0015639,-0.026489,-0.015727,-0.16485999999999998,6.1933,-1.4118,-0.37926,-0.8609600000000001,0.30669,0.54066,-0.23555,-0.11645,-0.27947,0.031685000000000005,0.072232,0.018652000000000002,0.029026999999999997,-9.0874,5.8064,1.1561,1.8034,0.022267,0.041163,0.12035,-0.15658,0.20201,-0.071987,-0.034504,-0.035862,-0.052884,-0.015843,abnormal
-10.254000000000001,5.582999999999999,3.1022,1.7556,0.6196,0.004783699999999999,-0.1437,-0.19222999999999998,-0.068772,0.011072,0.034735,-0.0013991,-0.050516000000000005,-0.056480999999999996,-10.850999999999999,5.4023,2.5577,1.5961,0.49066000000000004,0.082468,0.080871,-0.16768,-0.13854,-0.11158,-0.07898,-0.023939,-0.018399000000000002,-0.0091699,-15.698,5.5578,2.4928,1.6803,0.59195,0.13629000000000002,0.046058999999999996,-0.16138,-0.07597999999999999,-0.12065,-0.056302,0.0081724,0.006027899999999999,-0.008841700000000001,-18.816,5.8877,2.0595,1.7641,0.44658000000000003,0.17405,0.10265,-0.24741999999999997,-0.07451,-0.14026,-0.045491000000000004,0.035838999999999996,0.015040000000000001,-0.013304,abnormal
-4.3783,5.2538,3.0088,1.8339,0.8535,0.30575,0.071147,-0.072483,-0.075571,-0.097109,-0.038781,-0.040963,-0.041443,-0.035841000000000005,-3.8501,6.1326,2.1195,0.82175,-0.23815,-0.35068,-0.18363,-0.045076,0.19215,0.057939,0.042959,-0.024263999999999997,-0.054225,-0.012114,-11.110999999999999,6.047000000000001,1.4893,1.1937,0.0098506,0.085281,0.15035,-0.09300399999999999,0.061815999999999996,-0.093721,9.570000000000001e-05,-0.048152999999999994,-0.062157000000000004,-0.00083356,-12.182,6.1324,1.5843,1.3649,0.062019000000000005,0.17611,0.20926,-0.1111,0.068534,-0.12440999999999999,-0.035114,-0.039131,-0.081665,-0.009404299999999999,abnormal
-5.1693,4.9891,3.1302,2.0212,1.0621,0.3569,0.048671,-0.13667,-0.19252,-0.17193,-0.07348500000000001,-0.028875,-0.015046,-0.016704,-7.8392,5.3314,2.6039,1.5921,0.7932,0.26909,0.09272799999999999,-0.1104,-0.14951,-0.15685,-0.14115,-0.082615,-0.018875,0.020391,-14.177999999999999,5.2134,1.9919,1.6754,0.64789,0.17717,0.15107,-0.097465,-0.04829,-0.088864,-0.08266,-0.059299,-0.030535000000000003,0.0068983000000000004,-14.562000000000001,5.5715,2.2129,1.8202,0.68416,0.17740999999999998,0.16835,-0.10887999999999999,-0.075291,-0.11422,-0.10017999999999999,-0.06262000000000001,-0.047326,0.00095219,abnormal
-4.7794,5.8407,2.8458,1.2183,0.26911999999999997,-0.1269,-0.12395,-0.087645,-0.01208,-0.0050372,-0.009177,-0.025265,-0.024028,-0.0081544,-6.4628,5.9727,2.3059,0.9151100000000001,0.26744,0.028804000000000003,0.021358000000000002,-0.049079000000000005,-0.00079987,-0.045105,-0.077753,-0.039731,-0.05533300000000001,-0.021863,-11.739,6.2066,2.1386,0.9323100000000001,0.18627,0.040202,0.12474,-0.023325,0.006538500000000001,-0.065722,-0.065488,-0.039272,-0.036564,-0.012458,-12.895,6.4338,1.9521,0.9819399999999999,0.17372,0.013685,0.12113,-0.08106100000000001,-0.03298,-0.08871799999999999,-0.056480999999999996,-0.034053,-0.034888,0.004197,normal
-9.1361,5.1524,2.0805,1.9771,0.1812,0.22945,-0.11207,-0.4006,-0.031431,-0.30036999999999997,0.046088,0.058548,-0.047831,0.06306,-9.6998,5.2716,1.8884,1.8891,0.15391,0.31743000000000005,-0.022583000000000002,-0.36732,-0.0076411000000000005,-0.32086,0.043108,0.032762,-0.068371,0.07130299999999999,-11.482999999999999,5.0826,1.5952,2.1214,-0.065616,0.49203,-0.028024,-0.40741,0.074257,-0.38871999999999995,0.066544,0.011597,-0.0623,0.08402799999999999,-11.822000000000001,5.1687,1.6657,2.3184,-0.052618,0.45703999999999995,-0.051177999999999994,-0.42735,0.08472400000000001,-0.39879000000000003,0.074205,0.011903,-0.0655,0.084069,normal
-7.5221,5.9003,1.5023,1.1722,-0.053316999999999996,-0.21364,-0.058762,-0.11642999999999999,0.10122,-0.014176,-0.020181,-0.026701,-0.034848000000000004,0.016489,-8.9511,5.8477,1.0943,1.0988,0.035075,0.0041733000000000004,0.15642,-0.039209,0.045079,-0.20012,-0.10800000000000001,0.0010927999999999999,-0.011128,-0.0060925,-14.335999999999999,5.6639,0.34184000000000003,1.5162,-0.22608000000000003,0.022428,0.081913,-0.29732,0.06315,-0.15783,-0.024613,-0.041635000000000005,-0.042494,0.021953999999999998,-15.529000000000002,5.5729999999999995,0.17828,1.8758,-0.22365,0.17723,0.18495999999999999,-0.28931,0.09400700000000001,-0.17432999999999998,0.010347,-0.062753,-0.038507,0.019386,abnormal
-6.2211,6.3371,2.4229,0.9850399999999999,-0.074837,-0.4027,-0.28517,-0.20629,-0.047665,-0.07077,-0.027724000000000002,-0.0050698,-0.038774,-0.021469,-9.5516,6.1046,1.925,1.2237,0.077472,-0.27814,-0.14983,-0.27926,-0.11712,-0.080819,-0.0011505,0.0038016999999999994,-0.065251,-0.024512,-14.775,6.4146,1.0535,0.95209,-0.21645,-0.18055,-0.016373,-0.23242,0.032549,-0.10951,-0.022742,0.0016885000000000001,-0.061970000000000004,-0.027855,-15.59,6.3183,1.0095,1.1835,-0.017311,-0.061266999999999995,0.062638,-0.2594,0.038289,-0.08734199999999999,-0.047137,-0.029485,-0.040419,0.011479999999999999,normal
-9.9166,5.4504,2.9577,1.6076,0.52973,0.10914000000000001,-0.038475,-0.15124,-0.040126999999999996,-0.093209,-0.053389,-0.011040000000000001,-0.058540999999999996,-0.022064,-9.1783,5.7997,2.6845,1.3449,0.32265,0.089634,0.11905999999999999,-0.055222,-0.028232999999999998,-0.095736,-0.050023000000000005,-0.027429000000000002,-0.05525,0.00094688,-16.257,6.1535,2.0594,1.2277,-0.1352,0.030876,0.097328,-0.21013,0.11017,-0.097968,-0.041012,0.046214,-0.07057999999999999,-0.0031739,-17.177,6.1425,1.8406,1.3373,-0.07803500000000001,0.18714,0.18135,-0.22202,0.091731,-0.15718,-0.034980000000000004,0.04584,-0.08530499999999999,-0.0099205,normal
